id	enabled	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id
T15	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。	Press the left directional button or right directional button to change handicap. More red marks means a better advantage for 1P. Blue marks are for 2P.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A560	NUN5_TEXTENG@0xF7A0	slot	256				
T16	1	Battle or Practice Settings > label or running help	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。	Battle Settings returned to defaults.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A680	NUN5_TEXTENG@0xF260	slot	68				
T17	1	Battle or Practice Settings > label or running help	連係攻撃	Linked Attack			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A748	NUN5_TEXTENG@0xF08	slot	16				
T18	1	Battle or Practice Settings > label or running help	連係モード	Linked Mode			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A758	NUN5_TEXTENG@0x1E60	slot	16				
T19	1	Battle or Practice Settings > label or running help	コマンド表示	Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A768	NUN5_TEXTENG@0x893	slot	16				
T20	1	Battle or Practice Settings > label or running help	ダメージ量表示	Damage			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A778	NUN5_SLES@0x5142E8	slot	16				
T21	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ＣＯＭでは、コンピュータと<r対戦|たいせん>する<r事|こと>ができます。	You can battle against the computer when in COM mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B170	NUN5_TEXTENG@0xFFE0	slot	160				
T22	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r立|た>ちでは、<r立|た>った<r状態|じょうたい>で<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Stand mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B210	NUN5_TEXTENG@0x10020	slot	192				
T23	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ジャンプでは、ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Jump mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B2D0	NUN5_TEXTENG@0x10070	slot	176				
T24	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r二段|にだん>ジャンプでは、<r二段|にだん>ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。			T24	inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B380		slot	208				
T25	1	Battle or Practice Settings > label or running help	対戦相手の設定	Opponent Settings			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B468	NUN5_TEXTENG@0xF920	slot	24				
T26	1	Battle or Practice Settings > label or running help	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。	Practice settings returned to defaults.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B4D0	NUN5_TEXTENG@0xF940	slot	72				
T27	1	Battle or Practice Settings > selector value	楽々	Simple			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B48	NUN5_SLES@0x514218	slot	8				
T28	1	Battle or Practice Settings > selector value	ふつう	Normal			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B50	NUN5_SLES@0x514228	slot	8				
T29	1	Battle or Practice Settings > selector value	激むず	Insane			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B58	NUN5_SLES@0x514238	slot	8				
T30	1	Battle or Practice Settings > selector value	究極			T30	inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B60		slot	8				
T31	1	Battle or Practice Settings > selector value	なし	None			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B68	NUN5_SLES@0x514240	slot	8				
T32	1	Battle or Practice Settings > selector value	少なめ	Less			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B70	NUN5_SLES@0x514248	slot	8				
T33	1	Battle or Practice Settings > selector value	多め	More			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B78	NUN5_SLES@0x514250	slot	8				
T34	1	Battle or Practice Settings > selector value	通常	Normal			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B80	NUN5_SLES@0x4B9519	slot	8				
T35	1	Battle or Practice Settings > selector value	回転	Turn			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B98	NUN5_SLES@0x514278	slot	8				
T36	1	Battle or Practice Settings > selector value	連打	Combo			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BA0	NUN5_SLES@0x4AFE80	slot	8				
T37	1	Battle or Practice Settings > selector value	オフ	OFF			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB0	NUN5_SLES@0x513E6C	slot	8				
T38	1	Battle or Practice Settings > selector value	オン	ON			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB8	NUN5_SLES@0x513E68	slot	8				
T39	1	Battle or Practice Settings > selector value	半分	Half			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BC8	NUN5_SLES@0x514280	slot	8				
T40	1	Battle or Practice Settings > selector value	オート	Auto			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BE0	NUN5_SLES@0x513F18	slot	8				
T41	1	Battle or Practice Settings > selector value	手動	Manual			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF0	NUN5_SLES@0x513F10	slot	8				
T42	1	Battle or Practice Settings > selector value	ＣＯＭ	COM			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF8	NUN5_SLES@0x514290	slot	8				
T43	1	Battle or Practice Settings > selector value	立ち	Stand			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C00	NUN5_SLES@0x514298	slot	8				
T44	1	Battle or Practice Settings > selector value	しない	No			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C08	NUN5_SLES@0x513E4C	slot	8				
T45	1	Battle or Practice Settings > selector value	単発	Single			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C10	NUN5_SLES@0x5142A0	slot	8				
T46	1	Battle or Practice Settings > selector value	コンボ	Combo			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C18	NUN5_SLES@0x4AFE80	slot	8				
T47	1	Battle or Practice Settings > selector value	忍術	Jutsu			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C28	NUN5_SLES@0x5142A8	slot	8				
T48	1	Battle or Practice Settings > selector value	する	Use			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C30	NUN5_SLES@0x51425B	slot	8				
T49	1	Battle or Practice Settings > selector value	追う	Follow			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C40	NUN5_SLES@0x5142B8	slot	8				
T50	1	Battle or Practice Settings > selector value	難易度	Difficulty			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C70	NUN5_TEXTENG@0xF880	slot	8			NA2_BTL@0x20A264	
T51	1	Battle or Practice Settings > selector value	体力	Health			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CA0	NUN5_SLES@0x5142E0	slot	8				
T52	1	Battle or Practice Settings > selector value	状態	Status			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CA8	NUN5_SLES@0x4AFF1D	slot	8				
T53	1	Battle or Practice Settings > selector value	攻撃	Attack			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CB8	NUN5_SLES@0x513EF0	slot	8				
T54	1	Battle or Practice Settings > selector value	ガード	Guard			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CC0	NUN5_SLES@0x4AFD6D	slot	8				
T55	1	Battle or Practice Settings > selector value	行動	Move			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CC8	NUN5_SLES@0x5142F8	slot	8				
T56	1	Battle or Practice Settings > unlimited-time value	無限	Unlimited			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B88	NUN5_TEXTENG@0xF218	slot	8			NA2_SLPS@0x505B94,NA2_SLPS@0x505BAC,NA2_SLPS@0x505C68	
T57	1	Battle pause menu > menu item	<r操作設定|そうさせってい>	Controls			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A30	NUN5_TEXTENG@0x870	slot	32				
T58	1	Battle pause menu > menu item	<r基本操作|きほんそうさ>コマンド<r表|ひょう>	Command Chart			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A50	NUN5_TEXTENG@0x880	slot	48				
T59	1	Battle pause menu > menu item	１Ｐコマンド<r表|ひょう>	1P Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A80	NUN5_TEXTENG@0x890	slot	32				
T60	1	Battle pause menu > menu item	２Ｐコマンド<r表|ひょう>	2P Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208AA0	NUN5_TEXTENG@0x8A0	slot	32				
T61	1	Battle pause menu > menu item	<r練習設定|れんしゅうせってい>	Practice			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208AF0	NUN5_TEXTENG@0x718	slot	32				
T62	1	Battle pause menu > menu item	かんたん<r表示|ひょうじ><r設定|せってい>	Simple Display			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208B10	NUN5_TEXTENG@0x8B0	slot	48				
T63	1	Battle pause menu > quit or return confirmation	<r対戦|たいせん>	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208CF0	NUN5_TEXTENG@0xA20	slot	32	format_literal_prefix_arg2	arg1=Free Battle	NA2_BTL@0x208E40	
T64	1	Battle pause menu > quit or return confirmation	<r練習|れんしゅう>	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D10	NUN5_TEXTENG@0xA20	slot	32	format_literal_prefix_arg2	arg1=Practice	NA2_BTL@0x208E44	
T65	1	Battle pause menu > quit or return confirmation	"を<r終了|しゅうりょう>しますが、よろしいですか？
<iconCANCEL>キャンセル"	Do you want to quit %1?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D30	NUN5_TEXTENG@0xA00	slot	80	format_literal_arg1	arg1=Free Battle	NA2_BTL@0x208E48	
T66	1	Battle pause menu > quit or return confirmation	を<r終了|しゅうりょう>して	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D80	NUN5_TEXTENG@0xA20	slot	32	between_placeholders			
T67	1	Battle pause menu > quit or return confirmation	"に<r戻|もど>りますが、
よろしいですか？　　　　<iconCANCEL>キャンセル"	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208DF0	NUN5_TEXTENG@0xA20	slot	80	after_placeholder2			
T68	1	Battle pause menu > return destination	ゲームモード<r選択|せんたく>に<r戻|もど>る	Back to Game Mode Screen			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208BB0	NUN5_TEXTENG@0x900	slot	48				
T69	1	Battle pause menu > return destination	キャラクター<r選択|せんたく>に<r戻|もど>る	Back to Character Select			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208BE0	NUN5_TEXTENG@0x920	slot	48				
T98	1	Character menus > Ultimate Jutsu name	<r朝孔雀|あさくじゃく>	Morning Peacock			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x26180	NUN5_TEXTENG@0x33B0	slot	24				
T99	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r影縫|かげぬ>い	Ninja Art: Shadow Sew			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x26210	NUN5_TEXTENG@0x3410	slot	40				
T100	1	Character menus > Ultimate Jutsu name	<r部分倍化|ぶぶんばいか>の<r術|じゅつ>	Partial Expansion Jutsu			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x262C0	NUN5_TEXTENG@0x3490	slot	40				
T101	1	Character menus > Ultimate Jutsu name	<r潜影多蛇手|せんえいたじゃしゅ>	Multiple Hidden Shadow Snake Hands			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x26D60	NUN5_TEXTENG@0x3C70	slot	40				
T102	1	Character menus > Ultimate Jutsu name	<r大玉螺旋丸|おおだまらせんがん>	Great Ball Rasengan			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28440	NUN5_TEXTENG@0x3F00	slot	48				
T103	1	Character menus > Ultimate Jutsu name	<r漏|も>れ<r出|だ>す<r力|ちから>	Overflowing Power			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28470	NUN5_TEXTENG@0x3F20	slot	48				
T104	1	Character menus > Ultimate Jutsu name	<r妖狐|ようこ>の<r衣|ころも>	Nine-Tail's Cloak			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x284A0	NUN5_TEXTENG@0x3F40	slot	32				
T105	1	Character menus > Ultimate Jutsu name	<r変|か>わらない<r関係|かんけい>	Unchanging Relationship			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x284C0	NUN5_TEXTENG@0x3F60	slot	48				
T106	1	Character menus > Ultimate Jutsu name	<r春|はる>の<r蹴来|しゅうらい>	Coming of Spring Kick 			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x284F0	NUN5_TEXTENG@0x11360	slot	32				
T107	1	Character menus > Ultimate Jutsu name	キラキラ<r乙女心|おとめごころ>	Twinkling Maiden's Heart			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28510	NUN5_TEXTENG@0x3FA0	slot	32				
T108	1	Character menus > Ultimate Jutsu name	<r大地割|だいちわ>り	Earth Chop			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28530	NUN5_TEXTENG@0x3FC0	slot	32				
T109	1	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r桜舞|サクラマイ>	Puppet: Cherry Blossom Dance			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28550	NUN5_TEXTENG@0x3FD0	slot	48				
T110	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>　<r白描|はくびょう>	Ninja Art: Beast Scroll Replicas @White Picture@			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28580	NUN5_TEXTENG@0x3FF0	slot	80				
T111	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>　<r龍|りゅう>	Ninja Art: Beast Scroll Replicas @Dragon@			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x285D0	NUN5_TEXTENG@0x4030	slot	64				
T112	1	Character menus > Ultimate Jutsu name	<r雷切|らいきり>・<r一尖|いっせん>	Lightning Blade, Single Sharpness 			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28610	NUN5_TEXTENG@0x11520	slot	48				
T113	1	Character menus > Ultimate Jutsu name	<r土遁|どとん>・<r裂穿牙|れっせんが>	Earth Style: Ripping Drill Fang			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28640	NUN5_TEXTENG@0x4090	slot	48				
T114	1	Character menus > Ultimate Jutsu name	コピー<r忍術|にんじゅつ>	Ninja Art: Copy Jutsu			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28670	NUN5_TEXTENG@0x40B0	slot	32				
T115	1	Character menus > Ultimate Jutsu name	<r八卦四天空掌|はっけしてんくうしょう>	8 Trigrams 4 Sky Palms 			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28690	NUN5_TEXTENG@0x11410	slot	48				
T116	1	Character menus > Ultimate Jutsu name	<r八卦六十四掌|はっけろくじゅうよんしょう>	8 Trigrams 64 Palms			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x286C0	NUN5_TEXTENG@0x40F0	slot	48				
T117	1	Character menus > Ultimate Jutsu name	<r八卦破山撃|はっけはざんげき>	8 Trigrams Mountain Break Attack			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x286F0	NUN5_TEXTENG@0x11430	slot	32			NA2_ETC@0x2A07C	
T118	1	Character menus > Ultimate Jutsu name	<r木|こ>ノ<r葉旋光|はせんこう>	Leaf Spiral Light			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28710	NUN5_TEXTENG@0x4130	slot	32				
T119	1	Character menus > Ultimate Jutsu name	<r青春|せいしゅん>フルパワー！！	Full Power of Youth!! 			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28730	NUN5_TEXTENG@0x11460	slot	48				
T120	1	Character menus > Ultimate Jutsu name	あの<r夕日|ゆうひ>に<r向|む>かって	Facing the Sunset			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28760	NUN5_TEXTENG@0x4170	slot	48				
T121	1	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r廻燕劇|かいえんげき>	Ninja Tool: Spinning Swallow Show			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28790	NUN5_TEXTENG@0x4190	slot	48				
T122	1	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r大鉄塊|だいてっかい>	Ninja Tool: Giant Iron Lump			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x287C0	NUN5_TEXTENG@0x41C0	slot	48				
T123	1	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r天鋼災|てんこうさい>	Ninja Tool: Heavenly Metal Disaster			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x287F0	NUN5_TEXTENG@0x41E0	slot	48				
T124	1	Character menus > Ultimate Jutsu name	<r自分|じぶん>ルール・<r壱|いち>	My Rule: One			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28820	NUN5_TEXTENG@0x4208	slot	48				
T125	1	Character menus > Ultimate Jutsu name	<r自分|じぶん>ルール・<r弐|に>	My Rule: Two			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28850	NUN5_TEXTENG@0x4218	slot	32				
T126	1	Character menus > Ultimate Jutsu name	ＩＱ２００	IQ 200			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28870	NUN5_SLES@0x5140E8	slot	16				
T127	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r影煙幕|かげえんまく>の<r術|じゅつ>	Ninja Art: Shadow Smoke Screen Jutsu			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28880	NUN5_TEXTENG@0x114A0	slot	64				
T128	1	Character menus > Ultimate Jutsu name	<r部分超倍化|ぶぶんちょうばいか>の<r術|じゅつ>	Super Expansion Jutsu			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x288C0	NUN5_TEXTENG@0x4260	slot	48				
T129	1	Character menus > Ultimate Jutsu name	<r超|ちょう>・<r肉弾戦車|にくだんせんしゃ>	Super Human Boulder			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x288F0	NUN5_TEXTENG@0x4280	slot	48				
T130	1	Character menus > Ultimate Jutsu name	<r超|ちょう>・<r肉弾戦車|にくだんせんしゃ>２	Super Human Boulder 2			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28920	NUN5_TEXTENG@0x42A0	slot	48				
T131	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r月下美人|げっかびじん>	Ninja Art: Queen of the Night			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28950	NUN5_TEXTENG@0x42C0	slot	48				
T132	1	Character menus > Ultimate Jutsu name	<r蝶針火|ちょうしんか>	Butterfly Needle Flame			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28980	NUN5_TEXTENG@0x42E0	slot	24				
T133	1	Character menus > Ultimate Jutsu name	<r飛燕|ひえん>	Flying Swallow			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28998	NUN5_TEXTENG@0x42F8	slot	24				
T134	1	Character menus > Ultimate Jutsu name	<r渦旋風火|かせんふうか>の<r術|じゅつ>	Fire Whirlwind Jutsu			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x289B0	NUN5_TEXTENG@0x4310	slot	48				
T135	1	Character menus > Ultimate Jutsu name	<r爪迅狼牙|そうじんろうが>	Swift Claw Wolf Fang			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x289E0	NUN5_TEXTENG@0x4330	slot	32				
T136	1	Character menus > Ultimate Jutsu name	<r天双牙|てんそうが>	Dual Wolf Fangs			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28A00	NUN5_TEXTENG@0x4350	slot	32				
T137	1	Character menus > Ultimate Jutsu name	<r寄壊蟲|きかいちゅう>・<r蝕|しょく>	Parasitic Insects: Digest			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28A20	NUN5_TEXTENG@0x4360	slot	48				
T138	1	Character menus > Ultimate Jutsu name	<r寄壊蟲|きかいちゅう>・<r虚|うつろ>	Parasitic Insects: Deception			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28A50	NUN5_TEXTENG@0x4380	slot	48				
T139	1	Character menus > Ultimate Jutsu name	<r八卦掌空天|はっけしょうくうてん>	8 Trigrams Sky Palm			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28A80	NUN5_TEXTENG@0x3230	slot	48				
T140	1	Character menus > Ultimate Jutsu name	<r魔幻|まげん>・<r樹縛殺|じゅばくさつ>	Evil Illusion: Tree Capture Death			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28AB0	NUN5_TEXTENG@0x43A0	slot	48				
T141	1	Character menus > Ultimate Jutsu name	<r砂縛牢|さばくろう>	Sand Prison			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28AE0	NUN5_TEXTENG@0x43C8	slot	32				
T142	1	Character menus > Ultimate Jutsu name	<r砂瀑槍葬|さばくそうそう>	Sand Spear Funeral			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28B00	NUN5_TEXTENG@0x43E0	slot	32				
T143	1	Character menus > Ultimate Jutsu name	<r滅砂瀑葬|めっさばくそう>	Destructive Sand Burial			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28B20	NUN5_TEXTENG@0x4400	slot	32				
T144	1	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r骸烏|ムクロガラス>	Puppet: Crow Corpse			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28B40	NUN5_TEXTENG@0x4420	slot	48				
T145	1	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r鬼城|きじょう>の<r面|めん>	Puppet: Mask of Demon Castle			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28B70	NUN5_TEXTENG@0x4440	slot	48				
T146	1	Character menus > Ultimate Jutsu name	<r黒秘技三大狂言|くろひぎさんだいきょうげん>	Secret Black Move: Three Major Plays			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28BA0	NUN5_TEXTENG@0x113B0	slot	48				
T147	1	Character menus > Ultimate Jutsu name	<r豪風暴壁|ごうふうぼうへき>	Gale Raging Wall			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x28BD0	NUN5_TEXTENG@0x4480	slot	32				
