id	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id	legacy_ids
T46	Battle or Practice Settings > selector value	コンボ					NA2_SLPS@0x505C18		slot	8					M0593
T47	Battle or Practice Settings > selector value	忍術					NA2_SLPS@0x505C28		slot	8					M0594
T48	Battle or Practice Settings > selector value	する					NA2_SLPS@0x505C30		slot	8					M0595
T49	Battle or Practice Settings > selector value	追う					NA2_SLPS@0x505C40		slot	8					M0596
T50	Battle or Practice Settings > selector value	難易度					NA2_SLPS@0x505C70		slot	8					M0597
T51	Battle or Practice Settings > selector value	体力					NA2_SLPS@0x505CA0		slot	8					M0598
T52	Battle or Practice Settings > selector value	状態					NA2_SLPS@0x505CA8		slot	8					M0599
T53	Battle or Practice Settings > selector value	攻撃					NA2_SLPS@0x505CB8		slot	8					M0600
T54	Battle or Practice Settings > selector value	ガード					NA2_SLPS@0x505CC0		slot	8					M0601
T55	Battle or Practice Settings > selector value	行動					NA2_SLPS@0x505CC8		slot	8					M0602
T56	Battle or Practice Settings > unlimited-time value	無限					NA2_SLPS@0x505B88		slot	8					M0655
T57	Battle pause menu > menu item	<r操作設定|そうさせってい>					NA2_BTL@0x208A30		slot	32					M0120
T58	Battle pause menu > menu item	<r基本操作|きほんそうさ>コマンド<r表|ひょう>					NA2_BTL@0x208A50		slot	48					M0121
T59	Battle pause menu > menu item	１Ｐコマンド<r表|ひょう>					NA2_BTL@0x208A80		slot	32					M0122
T60	Battle pause menu > menu item	２Ｐコマンド<r表|ひょう>					NA2_BTL@0x208AA0		slot	32					M0123
T61	Battle pause menu > menu item	<r練習設定|れんしゅうせってい>					NA2_BTL@0x208AF0		slot	32					M0124
T62	Battle pause menu > menu item	かんたん<r表示|ひょうじ><r設定|せってい>					NA2_BTL@0x208B10		slot	48					M0125
T63	Battle pause menu > quit or return confirmation	<r対戦|たいせん>					NA2_BTL@0x208CF0		slot	32					M0134,M0741
T64	Battle pause menu > quit or return confirmation	<r練習|れんしゅう>					NA2_BTL@0x208D10		slot	32					M0135,M0742
T65	Battle pause menu > quit or return confirmation	"を<r終了|しゅうりょう>しますが、よろしいですか？
<iconCANCEL>キャンセル"					NA2_BTL@0x208D30		slot	80					M0136,M0743
T66	Battle pause menu > quit or return confirmation	を<r終了|しゅうりょう>して					NA2_BTL@0x208D80		slot	32					M0744
T67	Battle pause menu > quit or return confirmation	"に<r戻|もど>りますが、
よろしいですか？　　　　<iconCANCEL>キャンセル"					NA2_BTL@0x208DF0		slot	80					M0140,M0745
T68	Battle pause menu > return destination	ゲームモード<r選択|せんたく>に<r戻|もど>る					NA2_BTL@0x208BB0		slot	48					M0129
T69	Battle pause menu > return destination	キャラクター<r選択|せんたく>に<r戻|もど>る					NA2_BTL@0x208BE0		slot	48					M0130
T70	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r忍術|にんじゅつ>にて<r攻|せ>めるべし					NA2_BTL@0x1E5550		slot	64					M0092
T71	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r奥義|おうぎ>にて<r攻|せ>めるべし					NA2_BTL@0x1E5590		slot	48					M0093
T72	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r連係攻撃|れんけいこうげき>にて<r攻|せ>めるべし					NA2_BTL@0x1E55C0		slot	64					M0094
T73	Battle Results > Ninja Song objective or bonus	<r変|か>わり<r身|み>にて<r敵|てき>を<r欺|あざむ>くべし					NA2_BTL@0x1E5600		slot	64					M0095
T74	Battle Results > Ninja Song objective or bonus	<r追|お>い<r討|う>ちにて<r敵|てき>を<r追撃|ついげき>すべし					NA2_BTL@0x1E5640		slot	64					M0096
T75	Battle Results > Ninja Song objective or bonus	<r連続|れんぞく><r攻撃|こうげき>にて<r敵|てき>を<r圧倒|あっとう>するべし					NA2_BTL@0x1E5680		slot	80					M0097
T76	Battle Results > Ninja Song objective or bonus	<r特殊忍具|とくしゅにんぐ>を<r用|もち>いて<r攻|せ>めるべし					NA2_BTL@0x1E56D0		slot	64					M0098
T77	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r素早|すばや>く<r排除|はいじょ>すべし					NA2_BTL@0x1E5710		slot	64					M0099
T78	Battle Results > Ninja Song objective or bonus	<r己|おのれ>の<r体力|たいりょく>は<r温存|おんぞん>すべし					NA2_BTL@0x1E5750		slot	64					M0100
T79	Battle Results > Ninja Song objective or bonus	<r強者|つわもの>を<r打|う>ち<r破|やぶ>るべし					NA2_BTL@0x1E5790		slot	48					M0101
T80	Battle Results > Ninja Song objective or bonus	<r秘|ひ>めたる<r力|ちから>を<r解|と>き<r放|はな>つべし					NA2_BTL@0x1E57C0		slot	64					M0102
T81	Battle Results > Ninja Song objective or bonus	<r挑発|ちょうはつ>を<r以|も>って<r敵|てき>を<r刺激|しげき>すべし					NA2_BTL@0x1E5800		slot	80					M0103
T82	Battle Results > Ninja Song objective or bonus	<r壊|こわ>れ<r物|もの>を<r破壊|はかい>すべし					NA2_BTL@0x1E5850		slot	48					M0104
T83	Battle Results > Ninja Song objective or bonus	<r特殊|とくしゅ><r条件|じょうけん>を<r完遂|かんすい>すべし					NA2_BTL@0x1E5880		slot	64					M0105
T84	Battle Results > Ninja Song objective or bonus	<r敵|てき>の<r奥義|おうぎ>を<r打|う>ち<r破|やぶ>るべし					NA2_BTL@0x1E58C0		slot	64					M0106
T85	Battle Results > Ninja Song objective or bonus	<r術|じゅつ>の<r競|せ>り<r合|あ>いにて<r勝利|しょうり>すべし					NA2_BTL@0x1E5900		slot	64					M0107
T86	Battle Results > Ninja Song objective or bonus	<r敵|てき>に<r残影|ざんえい>をもって<r挑|いど>むべし					NA2_BTL@0x1E5940		slot	64					M0108
T87	Battle Results > Ninja Song objective or bonus	コンボ<r数|すう>%sHitボーナス					NA2_BTL@0x1E5980		slot	32					M0109
T88	Battle Results > Ninja Song objective or bonus	<r所持|しょじ>アイテム%s<r個|こ>ボーナス					NA2_BTL@0x1E59A0		slot	48					M0110
T89	Battle Results > Ninja Song objective or bonus	<r背景破壊|はいけいはかい>ボーナス					NA2_BTL@0x1E59D0		slot	48					M0111
T90	Battle Results > Ninja Song objective or bonus	<r残影勝利|ざんえいしょうり>ボーナス					NA2_BTL@0x1E5A00		slot	48					M0112
T91	Battle Results > Ninja Song objective or bonus	<r奥義|おうぎ>ボーナス					NA2_BTL@0x1E5A30		slot	32					M0113
T92	Battle Results > Ninja Song objective or bonus	<r敵|てき>%sカウント<r以内撃破|いないげきは>ボーナス					NA2_BTL@0x1E5A50		slot	64					M0114
T93	Battle Results > Ninja Song objective or bonus	キャラクター<r組|く>み<r合|あ>わせボーナス					NA2_BTL@0x1E5AC0		slot	48					M0115
T94	Battle Results > Ninja Song objective or bonus	<r特殊連係攻撃|とくしゅれんけいこうげき>%sHitボーナス					NA2_BTL@0x1E5AF0		slot	64					M0116
T95	Battle Results > Ninja Song objective or bonus	<r連係忍術|れんけいにんじゅつ>%sHitボーナス					NA2_BTL@0x1E5B30		slot	48					M0117
T96	Battle Results > Ninja Song objective or bonus	<r連係奥義|れんけいおうぎ>%sHitボーナス					NA2_BTL@0x1E5B60		slot	48					M0118
T97	Battle Results > Ninja Song objective or bonus	カウント					NA2_BTL@0x1E5BC0		slot	16					M0119
T98	Character menus > Ultimate Jutsu name	<r朝孔雀|あさくじゃく>					NA2_ETC@0x26180		slot	24					M0316
T99	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r影縫|かげぬ>い					NA2_ETC@0x26210		slot	40					M0318
T100	Character menus > Ultimate Jutsu name	<r部分倍化|ぶぶんばいか>の<r術|じゅつ>					NA2_ETC@0x262C0		slot	40					M2053
T101	Character menus > Ultimate Jutsu name	<r潜影多蛇手|せんえいたじゃしゅ>					NA2_ETC@0x26D60		slot	40					M0350
T102	Character menus > Ultimate Jutsu name	<r大玉螺旋丸|おおだまらせんがん>					NA2_ETC@0x28440		slot	48					M2054
T103	Character menus > Ultimate Jutsu name	<r漏|も>れ<r出|だ>す<r力|ちから>					NA2_ETC@0x28470		slot	48					M2055
T104	Character menus > Ultimate Jutsu name	<r妖狐|ようこ>の<r衣|ころも>					NA2_ETC@0x284A0		slot	32					M2056
T105	Character menus > Ultimate Jutsu name	<r変|か>わらない<r関係|かんけい>					NA2_ETC@0x284C0		slot	48					M0858
T106	Character menus > Ultimate Jutsu name	<r春|はる>の<r蹴来|しゅうらい>					NA2_ETC@0x284F0		slot	32					M2057
T107	Character menus > Ultimate Jutsu name	キラキラ<r乙女心|おとめごころ>					NA2_ETC@0x28510		slot	32					M2058
T108	Character menus > Ultimate Jutsu name	<r大地割|だいちわ>り					NA2_ETC@0x28530		slot	32					M2059
T109	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r桜舞|サクラマイ>					NA2_ETC@0x28550		slot	48					M2060
T110	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>　<r白描|はくびょう>					NA2_ETC@0x28580		slot	80					M2061
T111	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>　<r龍|りゅう>					NA2_ETC@0x285D0		slot	64					M2062
T112	Character menus > Ultimate Jutsu name	<r雷切|らいきり>・<r一尖|いっせん>					NA2_ETC@0x28610		slot	48					M0718
T113	Character menus > Ultimate Jutsu name	<r土遁|どとん>・<r裂穿牙|れっせんが>					NA2_ETC@0x28640		slot	48					M2063
T114	Character menus > Ultimate Jutsu name	コピー<r忍術|にんじゅつ>					NA2_ETC@0x28670		slot	32					M0719
T115	Character menus > Ultimate Jutsu name	<r八卦四天空掌|はっけしてんくうしょう>					NA2_ETC@0x28690		slot	48					M2064
T116	Character menus > Ultimate Jutsu name	<r八卦六十四掌|はっけろくじゅうよんしょう>					NA2_ETC@0x286C0		slot	48					M0355
T117	Character menus > Ultimate Jutsu name	<r八卦破山撃|はっけはざんげき>					NA2_ETC@0x286F0		slot	32					M2065
T118	Character menus > Ultimate Jutsu name	<r木|こ>ノ<r葉旋光|はせんこう>					NA2_ETC@0x28710		slot	32					M2066
T119	Character menus > Ultimate Jutsu name	<r青春|せいしゅん>フルパワー！！					NA2_ETC@0x28730		slot	48					M2067
T120	Character menus > Ultimate Jutsu name	あの<r夕日|ゆうひ>に<r向|む>かって					NA2_ETC@0x28760		slot	48					M2229
T121	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r廻燕劇|かいえんげき>					NA2_ETC@0x28790		slot	48					M2068
T122	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r大鉄塊|だいてっかい>					NA2_ETC@0x287C0		slot	48					M2069
T123	Character menus > Ultimate Jutsu name	<r操具|そうぐ>・<r天鋼災|てんこうさい>					NA2_ETC@0x287F0		slot	48					M2070
T124	Character menus > Ultimate Jutsu name	<r自分|じぶん>ルール・<r壱|いち>					NA2_ETC@0x28820		slot	48					M2230
T125	Character menus > Ultimate Jutsu name	<r自分|じぶん>ルール・<r弐|に>					NA2_ETC@0x28850		slot	32					M2231
T126	Character menus > Ultimate Jutsu name	ＩＱ２００					NA2_ETC@0x28870		slot	16					M2232
T127	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r影煙幕|かげえんまく>の<r術|じゅつ>					NA2_ETC@0x28880		slot	64					M2071
T128	Character menus > Ultimate Jutsu name	<r部分超倍化|ぶぶんちょうばいか>の<r術|じゅつ>					NA2_ETC@0x288C0		slot	48					M2072
T129	Character menus > Ultimate Jutsu name	<r超|ちょう>・<r肉弾戦車|にくだんせんしゃ>					NA2_ETC@0x288F0		slot	48					M2073
T130	Character menus > Ultimate Jutsu name	<r超|ちょう>・<r肉弾戦車|にくだんせんしゃ>２					NA2_ETC@0x28920		slot	48					M2234
T131	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r月下美人|げっかびじん>					NA2_ETC@0x28950		slot	48					M2074
T132	Character menus > Ultimate Jutsu name	<r蝶針火|ちょうしんか>					NA2_ETC@0x28980		slot	24					M2075
T133	Character menus > Ultimate Jutsu name	<r飛燕|ひえん>					NA2_ETC@0x28998		slot	24					M2076
T134	Character menus > Ultimate Jutsu name	<r渦旋風火|かせんふうか>の<r術|じゅつ>					NA2_ETC@0x289B0		slot	48					M2077
T135	Character menus > Ultimate Jutsu name	<r爪迅狼牙|そうじんろうが>					NA2_ETC@0x289E0		slot	32					M2078
T136	Character menus > Ultimate Jutsu name	<r天双牙|てんそうが>					NA2_ETC@0x28A00		slot	32					M2079
T137	Character menus > Ultimate Jutsu name	<r寄壊蟲|きかいちゅう>・<r蝕|しょく>					NA2_ETC@0x28A20		slot	48					M2080
T138	Character menus > Ultimate Jutsu name	<r寄壊蟲|きかいちゅう>・<r虚|うつろ>					NA2_ETC@0x28A50		slot	48					M2081
T139	Character menus > Ultimate Jutsu name	<r八卦掌空天|はっけしょうくうてん>					NA2_ETC@0x28A80		slot	48					M2082
T140	Character menus > Ultimate Jutsu name	<r魔幻|まげん>・<r樹縛殺|じゅばくさつ>					NA2_ETC@0x28AB0		slot	48					M2083
T141	Character menus > Ultimate Jutsu name	<r砂縛牢|さばくろう>					NA2_ETC@0x28AE0		slot	32					M0356
T142	Character menus > Ultimate Jutsu name	<r砂瀑槍葬|さばくそうそう>					NA2_ETC@0x28B00		slot	32					M2235
T143	Character menus > Ultimate Jutsu name	<r滅砂瀑葬|めっさばくそう>					NA2_ETC@0x28B20		slot	32					M2084
T144	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r骸烏|ムクロガラス>					NA2_ETC@0x28B40		slot	48					M2085
T145	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r鬼城|きじょう>の<r面|めん>					NA2_ETC@0x28B70		slot	48					M2086
T146	Character menus > Ultimate Jutsu name	<r黒秘技三大狂言|くろひぎさんだいきょうげん>					NA2_ETC@0x28BA0		slot	48					M2087
T147	Character menus > Ultimate Jutsu name	<r豪風暴壁|ごうふうぼうへき>					NA2_ETC@0x28BD0		slot	32					M2088
T148	Character menus > Ultimate Jutsu name	<r練空踊扇|れんくうようせん>					NA2_ETC@0x28BF0		slot	32					M2089
T149	Character menus > Ultimate Jutsu name	<r口寄|くちよ>せ・<r扇舞降|せんまいお>ろし					NA2_ETC@0x28C10		slot	48					M2090
T150	Character menus > Ultimate Jutsu name	<r息子|むすこ>の<r仇|かたき>！？					NA2_ETC@0x28C40		slot	48					M2091
T151	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r父|ちち>と<r母|はは>					NA2_ETC@0x28C70		slot	48					M2092
T152	Character menus > Ultimate Jutsu name	<r十機近松|じっきちかまつ>の<r集|しゅう>					NA2_ETC@0x28CA0		slot	48					M2236
T153	Character menus > Ultimate Jutsu name	<r火遁|かとん>・<r豪焔球|ごうえんきゅう>					NA2_ETC@0x28CD0		slot	48					M2093
T154	Character menus > Ultimate Jutsu name	<r幻術|げんじゅつ>・<r泡沫|うたかた>					NA2_ETC@0x28D00		slot	48					M2094
T155	Character menus > Ultimate Jutsu name	<r瞳術|どうじゅつ>・<r威凪|いさなぎ>					NA2_ETC@0x28D30		slot	48					M2095
T156	Character menus > Ultimate Jutsu name	<r最凶|さいきょう>の<r刺客|しかく>					NA2_ETC@0x28D60		slot	48					M2096
T157	Character menus > Ultimate Jutsu name	<r水遁|すいとん>・<r五食鮫|ごしょくざめ>					NA2_ETC@0x28D90		slot	48					M2097
T158	Character menus > Ultimate Jutsu name	<r水遁|すいとん>・<r無限鮫|むげんざめ>					NA2_ETC@0x28DC0		slot	48					M2098
T159	Character menus > Ultimate Jutsu name	<r水遁|すいとん>・<r爆水衝波|ばくすいしょうは>					NA2_ETC@0x28DF0		slot	48					M2099
T160	Character menus > Ultimate Jutsu name	<r芸術|げいじゅつ>					NA2_ETC@0x28E20		slot	32					M2100
T161	Character menus > Ultimate Jutsu name	<r自爆分身|じばくぶんしん>					NA2_ETC@0x28E40		slot	32					M2101
T162	Character menus > Ultimate Jutsu name	<r十八番|オハコ>・<rＣ３|シースリー>					NA2_ETC@0x28E60		slot	48					M2102
T163	Character menus > Ultimate Jutsu name	<r合殺芸術|がっさいげいじゅつ>					NA2_ETC@0x28E90		slot	32					M2103
T164	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>の<r術|じゅつ>・<r尾沙悶|びしゃもん>					NA2_ETC@0x28EB0		slot	64					M2104
T165	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>の<r術|じゅつ>・<r義手千本|ぎしゅせんぼん>					NA2_ETC@0x28EF0		slot	64					M2105
T166	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>の<r術|じゅつ>・<r重刃庫|じゅうばこ>					NA2_ETC@0x28F30		slot	64					M2106
T167	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r砂鉄獄塊|さてつごっかい>					NA2_ETC@0x28F70		slot	48					M2107
T168	Character menus > Ultimate Jutsu name	<r傀儡|くぐつ>・<r砂鉄獄塊|さてつごっかい>２					NA2_ETC@0x28FA0		slot	48					M2237
T169	Character menus > Ultimate Jutsu name	<r赤秘技|あかひぎ>・<r百機|ひゃっき>の<r操演|そうえん>					NA2_ETC@0x28FD0		slot	64					M2108
T170	Character menus > Ultimate Jutsu name	<r火遁|かとん>・<r豪炎螺旋丸|ごうえんらせんがん>					NA2_ETC@0x29010		slot	64					M2109
T171	Character menus > Ultimate Jutsu name	<r双迅螺旋丸|そうじんらせんがん>					NA2_ETC@0x29050		slot	48					M2110
T172	Character menus > Ultimate Jutsu name	<r火遁|かとん>・<r消|け>し<r幕|まく>が<r原|はら>					NA2_ETC@0x29080		slot	64					M2111
T173	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r創造再生|そうぞうさいせい>					NA2_ETC@0x290C0		slot	48					M2112
T174	Character menus > Ultimate Jutsu name	<r火影|ほかげ>の<r力|ちから>					NA2_ETC@0x290F0		slot	32					M2113
T175	Character menus > Ultimate Jutsu name	<r地流|じながれ>					NA2_ETC@0x29110		slot	32					M2114
T176	Character menus > Ultimate Jutsu name	<r大交衝|だいこうしょう>					NA2_ETC@0x29130		slot	32					M2115
T177	Character menus > Ultimate Jutsu name	トントンコンビ					NA2_ETC@0x29150		slot	16					M2116
T178	Character menus > Ultimate Jutsu name	<r木遁|もくとん>・<r飛乃木|ひのき>					NA2_ETC@0x29160		slot	48					M2117
T179	Character menus > Ultimate Jutsu name	<r木遁|もくとん>・<r梁木|やなぎ>					NA2_ETC@0x29190		slot	48					M2118
T180	Character menus > Ultimate Jutsu name	<r禁術|きんじゅつ>・<r穢土封滅|えどふうめつ>					NA2_ETC@0x291C0		slot	48					M2119
T181	Character menus > Ultimate Jutsu name	<r蟒蛇|うわばみ>					NA2_ETC@0x291F0		slot	32					M2120
T182	Character menus > Ultimate Jutsu name	<r二凪|ふたなぎ>ノ<r草薙|くさなぎ>					NA2_ETC@0x29210		slot	48					M2121
T183	Character menus > Ultimate Jutsu name	<r死魂|しこん>の<r術|じゅつ>					NA2_ETC@0x29240		slot	32					M2122
T184	Character menus > Ultimate Jutsu name	チャクラ<r解剖刀|メス>・<r壊|かい>					NA2_ETC@0x29260		slot	48					M2238
T185	Character menus > Ultimate Jutsu name	<r死術|しじゅつ>・<r帰魂遊戯|きこんゆうぎ>					NA2_ETC@0x29290		slot	48					M2123
T186	Character menus > Ultimate Jutsu name	<r草薙|くさなぎ>の<r舞|まい>					NA2_ETC@0x292C0		slot	32					M2124
T187	Character menus > Ultimate Jutsu name	<r翔|か>け<r鳥崩|どりくず>し					NA2_ETC@0x292E0		slot	32					M2125
T188	Character menus > Ultimate Jutsu name	<r千鳥|ちどり>・<r雷鳴|らいめい>					NA2_ETC@0x29300		slot	48					M2126
T189	Character menus > Ultimate Jutsu name	うずまきナルト<r連弾|れんだん>					NA2_ETC@0x29330		slot	32					M2127
T190	Character menus > Ultimate Jutsu name	うずまきナルト<r忍法帳|にんぽうちょう>					NA2_ETC@0x29350		slot	48					M2128
T191	Character menus > Ultimate Jutsu name	<r九尾螺旋丸|きゅうびらせんがん>					NA2_ETC@0x29380		slot	48					M2129
T192	Character menus > Ultimate Jutsu name	ハヤブサ<r落|お>とし					NA2_ETC@0x293B0		slot	32					M2130
T193	Character menus > Ultimate Jutsu name	<r忌|い>まわしき<r千鳥|ちどり>					NA2_ETC@0x293D0		slot	32					M2131
T194	Character menus > Ultimate Jutsu name	<r呪|のろ>われし<r力|ちから>					NA2_ETC@0x293F0		slot	32					M2132
T195	Character menus > Ultimate Jutsu name	<r負|ま>けるもんですか！					NA2_ETC@0x29410		slot	32					M2133
T196	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r雪桜|ゆきざくら>の<r舞|まい>					NA2_ETC@0x29430		slot	64					M2134
T197	Character menus > Ultimate Jutsu name	<r八卦三百六十一式|はっけさんびゃくろくじゅういっしき>					NA2_ETC@0x29470		slot	64					M2135
T198	Character menus > Ultimate Jutsu name	<r絶招八門崩撃|ぜっしょうはちもんほうげき>					NA2_ETC@0x294B0		slot	48					M2136
T199	Character menus > Ultimate Jutsu name	すい<r拳|けん>					NA2_ETC@0x294E0		slot	16					M2137
T200	Character menus > Ultimate Jutsu name	<r裏蓮華|うられんげ>					NA2_ETC@0x294F0		slot	32					M2138
T201	Character menus > Ultimate Jutsu name	<r突|つ>き<r抜|ぬ>ける<r熱|あつ>き<r思|おも>い					NA2_ETC@0x29510		slot	48					M2139
