id	file	offset_hex	old_slot_capacity_bytes	source_japanese	previous_release_english	proposed_translation	notes	reason	detail
BTL_0086	BTL.BIN	0x1E3250	28	<ruby条件|じょうけん>が１つも<ruby設定|せってい>されていないです。	No conditions have been set.	Ｎｏ　ｃｏｎｄｉｔｉｏｎｓ　ｈａｖｅ　ｂｅｅｎ　ｓｅｔ．		pointer_hits_0	
BTL_0087	BTL.BIN	0x1E32A0	12	すでに<ruby設定済|せっていず>みです。	Already set.	Ａｌｒｅａｄｙ　ｓｅｔ．		pointer_hits_0	
BTL_0088	BTL.BIN	0x1E32D0	68	<ruby現在設定済|げんざいせっていず>みの<ruby条件|じょうけん>と.<ruby組|く>み<ruby合|あ>わせる<ruby事|こと>が<ruby出来|でき>ない<ruby条件|じょうけん>です。	This condition cannot be combined with the currently set conditions.	Ｔｈｉｓ　ｃｏｎｄｉｔｉｏｎ　ｃａｎｎｏｔ　ｂｅ　ｃｏｍｂｉｎｅｄ　ｗｉｔｈ　ｔｈｅ　ｃｕｒｒｅｎｔｌｙ　ｓｅｔ　ｃｏｎｄｉｔｉｏｎｓ．		pointer_hits_0	
BTL_0089	BTL.BIN	0x1E3370	5	基本条件	Basic	Ｂａｓｉｃ　Ｃｏｎｄｉｔｉｏｎｓ		pointer_hits_0	
BTL_0090	BTL.BIN	0x1E3380	40	<ruby方向|ほうこう>キー<ruby左右|さゆう>でＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Press Left/Right to change COM strength.	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｃｈａｎｇｅ　ＣＯＭ　ｓｔｒｅｎｇｔｈ．		pointer_hits_0	
BTL_0091	BTL.BIN	0x1E33F0	53	<ruby方向|ほうこう>キー<ruby左右|さゆう>で<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Press Left/Right to change the Ultimate input battle.	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｃｈａｎｇｅ　ｔｈｅ　Ｕｌｔｉｍａｔｅ　ｉｎｐｕｔ　ｂａｔｔｌｅ．		pointer_hits_0	
BTL_0107	BTL.BIN	0x1E3960	8	<r壮絶|そうぜつ>サバイバル	Survival	Ｓｕｒｖｉｖａｌ		pointer_hits_0	
BTL_0112	BTL.BIN	0x1E3A30	12	<r忍名|しのびめい>	Shinobi Name	Ｓｈｉｎｏｂｉ　Ｎａｍｅ		pointer_hits_0	
BTL_0113	BTL.BIN	0x1E3A50	10	<r所持金|しょじきん>	Money Held	Ｍｏｎｅｙ　Ｈｅｌｄ		pointer_hits_0	
BTL_0114	BTL.BIN	0x1E3A70	12	<r報酬金|ほうしゅうきん>	Reward Money	Ｒｅｗａｒｄ　Ｍｏｎｅｙ		pointer_hits_0	
BTL_0115	BTL.BIN	0x1E3A90	3	<r両|りょう>	Ryo	Ｒｙｏ		pointer_hits_0	
BTL_0116	BTL.BIN	0x1E3AA0	12	クリア<r報酬|ほうしゅう>	Clear Reward	Ｃｌｅａｒ　Ｒｅｗａｒｄ		pointer_hits_0	
BTL_0117	BTL.BIN	0x1E3AC0	18	レベルクリア<r報酬|ほうしゅう>	Level Clear Reward	Ｌｅｖｅｌ　Ｃｌｅａｒ　Ｒｅｗａｒｄ		pointer_hits_0	
BTL_0118	BTL.BIN	0x1E3AE0	13	「<color2820FF>%s<color000000>」クリア！	"Cleared ""%s""!"	Ｃｌｅａｒｅｄ　＂％ｓ＂！		pointer_hits_2	
BTL_0120	BTL.BIN	0x1E3B50	18	<r挑戦|ちょうせん>できるようになりました！！	is now available!!	ｉｓ　ｎｏｗ　ａｖａｉｌａｂｌｅ！！		pointer_hits_2	
BTL_0130	BTL.BIN	0x1E4170	7	%s × %s<r個|こ>	%s x %s	％ｓ　×　％ｓ		pointer_hits_0	
BTL_0131	BTL.BIN	0x1E4190	19	<r自分|じぶん>ルール<r戦闘|せんとう>	Custom Rules Battle	Ｃｕｓｔｏｍ　Ｒｕｌｅｓ　Ｂａｔｔｌｅ		pointer_hits_0	
BTL_0164	BTL.BIN	0x1FA598	10	忍術生成失敗.	Jutsu fail	Ｎｉｎｊｕｔｓｕ　ｃｒｅａｔｉｏｎ　ｆａｉｌｅｄ．		pointer_hits_0	
BTL_0165	BTL.BIN	0x203090	20	赤丸スライドアタック	Akamaru Slide Attack	Ａｋａｍａｒｕ　Ｓｌｉｄｅ　Ａｔｔａｃｋ		pointer_hits_0	
BTL_0166	BTL.BIN	0x2030B0	15	ダイナミックマーキング	Dynamic Marking	Ｄｙｎａｍｉｃ　Ｍａｒｋｉｎｇ		pointer_hits_0	
BTL_0167	BTL.BIN	0x2030D0	17	ブタ体当たりフィニッシュ	Pig Tackle Finish	Ｐｉｇ　Ｔａｃｋｌｅ　Ｆｉｎｉｓｈ		pointer_hits_0	
BTL_0168	BTL.BIN	0x2030F0	18	イタチ　影分身　砕	Itachi Clone Crush	Ｉｔａｃｈｉ　Ｓｈａｄｏｗ　Ｃｌｏｎｅ　Ｃｒｕｓｈ		pointer_hits_0	
BTL_0169	BTL.BIN	0x203110	13	忍犬　フィニッシュ	Ninken Finish	Ｎｉｎｋｅｎ　Ｆｉｎｉｓｈ		pointer_hits_0	
BTL_0170	BTL.BIN	0x203130	18	忍犬.フィニッシュブロー	Ninken Finish Blow	Ｎｉｎｋｅｎ　Ｆｉｎｉｓｈ　Ｂｌｏｗ		pointer_hits_0	
BTL_0171	BTL.BIN	0x203150	11	鬼鮫スイコウダン	Water Shark	Ｋｉｓａｍｅ　Ｗａｔｅｒ　Ｓｈａｒｋ　Ｂｕｌｌｅｔ		pointer_hits_0	
BTL_0185	BTL.BIN	0x208C30	10	<r対戦|たいせん>を<r終了|しゅうりょう>する	End Versus	Ｅｎｄ　Ｂａｔｔｌｅ		pointer_hits_2	
BTL_0195	BTL.BIN	0x208E60	59	ナルティメットアクセル<r独特|どくとく>の<r操作|そうさ>を.<r分|わ>かりやすく<r表示|ひょうじ>する<r為|ため>の<r機能|きのう>です。	Shows Accel-specific controls in an easy-to-understand way.	Ｔｈｉｓ　ｆｅａｔｕｒｅ　ｄｉｓｐｌａｙｓ　Ａｃｃｅｌ－ｓｐｅｃｉｆｉｃ　ｃｏｎｔｒｏｌｓ　ｉｎ　ａｎ　ｅａｓｙ－ｔｏ－ｕｎｄｅｒｓｔａｎｄ　ｗａｙ．		pointer_hits_0	
BTL_0257	BTL.BIN	0x209D48	6	マニュアル	Manual	Ｍａｎｕａｌ		pointer_hits_0	
BTL_0262	BTL.BIN	0x209DE0	4	動かない	Idle	Ｄｏ　Ｎｏｔ　Ｍｏｖｅ		pointer_hits_0	
BTL_0263	BTL.BIN	0x209DF0	6	必ず返す	Always	Ａｌｗａｙｓ　Ｃｏｕｎｔｅｒ		pointer_hits_0	
BTL_0275	BTL.BIN	0x20A220	5	アイテム出現	Items	Ｉｔｅｍ　Ｓｐａｗｎ		pointer_hits_2	
BTL_0276	BTL.BIN	0x20A230	6	チャクラ	Chakra	Ｃｈａｋｒａ		pointer_hits_2	
BTL_0282	BTL.BIN	0x20A4D0	62	<r方向|ほうこう>キー<r左右|さゆう>で<r奥義|おうぎ>の<r入力勝負|にゅうりょくしょうぶ>の<r切|き>り<r替|か>えなどが<r設定|せってい>できます。	Press Left/Right to switch the Ultimate input battle settings.	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｗｉｔｃｈ　Ｕｌｔｉｍａｔｅ　ｉｎｐｕｔ　ｂａｔｔｌｅ　ｓｅｔｔｉｎｇｓ．		pointer_hits_2	
BTL_0284	BTL.BIN	0x20A680	36	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。	Battle settings restored to default.	Ｂａｔｔｌｅ　ｓｅｔｔｉｎｇｓ　ｒｅｓｔｏｒｅｄ　ｔｏ　ｄｅｆａｕｌｔ．		pointer_hits_0	
BTL_0285	BTL.BIN	0x20A748	8	連係攻撃	Team Atk	Ｔｅａｍ　Ａｔｔａｃｋ		pointer_hits_2	
BTL_0312	BTL.BIN	0x20B468	12	対戦相手の設定	Opponent Set	Ｏｐｐｏｎｅｎｔ　Ｓｅｔｔｉｎｇｓ		pointer_hits_0	
BTL_0313	BTL.BIN	0x20B4D0	38	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。	Practice settings restored to default.	Ｐｒａｃｔｉｃｅ　ｓｅｔｔｉｎｇｓ　ｒｅｓｔｏｒｅｄ　ｔｏ　ｄｅｆａｕｌｔ．		pointer_hits_0	
BTL_0314	BTL.BIN	0x20B7F8	7	連係攻撃	TeamAtk	Ｔｅａｍ　Ａｔｔａｃｋ		pointer_hits_0	
