mode	target	target_offset	capacity	source	source_offset	pool_offset	pool_capacity	runtime_base	pointer_offsets	reason
slot	BTL	0x2091A0	48	UN5_TEXTENG	0xC00					
slot	BTL	0x2091D0	48	UN5_TEXTENG	0xC18					
slot	BTL	0x209200	48	UN5_TEXTENG	0xC28					
slot	BTL	0x209230	32	UN5_TEXTENG	0xC38					
slot	BTL	0x209250	32	UN5_TEXTENG	0xC50					
slot	BTL	0x209270	32	UN5_TEXTENG	0xC70					
slot	BTL	0x209290	32	UN5_TEXTENG	0xC90					
slot	BTL	0x2092B0	32	UN5_TEXTENG	0xCB0					
slot	BTL	0x209330	32	UN5_TEXTENG	0xD30					
slot	BTL	0x209350	48	UN5_TEXTENG	0xD40					
slot	BTL	0x2093B0	80	UN5_TEXTENG	0xDB0					
slot	BTL	0x209400	80	UN5_TEXTENG	0xDD0					
slot	BTL	0x209450	80	UN5_TEXTENG	0xDF0					
slot	BTL	0x2094A0	96	UN5_TEXTENG	0xE30					
slot	BTL	0x209520	32	UN5_TEXTENG	0xE58					
slot	BTL	0x209540	112	UN5_TEXTENG	0xE70					
slot	BTL	0x2095B0	96	UN5_TEXTENG	0xEA0					
slot	BTL	0x209650	32	UN5_TEXTENG	0xF08					
slot	BTL	0x209670	32	UN5_TEXTENG	0xF18					
slot	BTL	0x209690	24	UN5_TEXTENG	0xF28					
slot	BTL	0x2096A8	24	UN5_TEXTENG	0xD935					
slot	BTL	0x2096C0	32	UN5_TEXTENG	0xF38					
slot	BTL	0x2096E0	32	UN5_TEXTENG	0xF50					
slot	BTL	0x209720	64	UN5_TEXTENG	0xF60					
slot	BTL	0x209760	32	UN5_TEXTENG	0x2792A					
slot	BTL	0x209780	32	UN5_TEXTENG	0xF88					
slot	BTL	0x2097A0	48	UN5_TEXTENG	0xFA0					
slot	BTL	0x2097D0	32	UN5_TEXTENG	0xFB8					
slot	BTL	0x209810	48	UN5_TEXTENG	0xFC8					
slot	BTL	0x209840	48	UN5_TEXTENG	0xFE0					
slot	BTL	0x209870	32	UN5_TEXTENG	0xFF8					
slot	BTL	0x209890	48	UN5_TEXTENG	0x1010					
slot	BTL	0x209C80	16	UN5_TEXTENG	0x26AE					
slot	BTL	0x209C90	16	UN5_SLES	0x514230					
slot	BTL	0x209CD0	16	UN5_SLES	0x514258					
slot	BTL	0x209CE0	16	UN5_SLES	0x514260					
slot	BTL	0x209CF0	16	UN5_BTL	0x1ECEC2					
slot	BTL	0x209D00	16	UN5_SLES	0x514270					
slot	BTL	0x209D28	16	UN5_SLES	0x514288					
slot	BTL	0x209D48	16	UN5_SLES	0x513F10					
slot	BTL	0x209D58	16	UN5_TEXTENG	0xD935					
slot	BTL	0x209D68	24	UN5_TEXTENG	0xF38					
slot	BTL	0x209D98	16	UN5_BTL	0x1F9362					
slot	BTL	0x209DA8	16	UN5_TEXTENG	0xF50					
slot	BTL	0x209DE0	16	UN5_SLES	0x5142B0					
slot	BTL	0x209DF0	16	UN5_SLES	0x5142C0					
slot	BTL	0x209E00	17	UN5_TEXTENG	0xF248					
slot	BTL	0x20A220	16	UN5_SLES	0x5142D0					
slot	BTL	0x20A230	16	UN5_TEXTENG	0xB88					
slot	BTL	0x20A240	32	UN5_TEXTENG	0xF890					
slot	BTL	0x20A748	16	UN5_TEXTENG	0xF08					
slot	BTL	0x20A758	16	UN5_TEXTENG	0x1E60					
slot	BTL	0x20A768	16	UN5_TEXTENG	0x893					
slot	BTL	0x20A778	16	UN5_SLES	0x5142E8					
slot	BTL	0x20B170	160	UN5_TEXTENG	0xFFE0					
slot	BTL	0x20B210	192	UN5_TEXTENG	0x10020					
slot	BTL	0x20B2D0	176	UN5_TEXTENG	0x10070					
slot	BTL	0x20B380	208	UN5_TEXTENG	0x10070					
slot	BTL	0x20B468	24	UN5_TEXTENG	0xF920					
slot	BTL	0x20B4D0	72	UN5_TEXTENG	0xF940					
slot	ETC	0x24F98	24	UN5_TEXTENG	0x4D8					
slot	ETC	0x24FB0	24	UN5_TEXTENG	0x4E8					
slot	ETC	0x24FC8	24	UN5_TEXTENG	0x568					
slot	ETC	0x24FE0	24	UN5_TEXTENG	0x528					
slot	ETC	0x24FF8	16	UN5_TEXTENG	0x538					
slot	ETC	0x25018	24	UN5_TEXTENG	0x558					
slot	ETC	0x25030	32	UN5_TEXTENG	0x548					
slot	ETC	0x25050	32	UN5_TEXTENG	0x648					
slot	ETC	0x25070	32	UN5_TEXTENG	0x658					
slot	ETC	0x25090	32	UN5_TEXTENG	0x668					
slot	ETC	0x250B0	32	UN5_TEXTENG	0x618					
slot	ETC	0x250D0	32	UN5_TEXTENG	0x628					
slot	ETC	0x250F0	32	UN5_TEXTENG	0x638					
slot	ETC	0x25110	32	UN5_TEXTENG	0x678					
slot	ETC	0x25130	40	UN5_TEXTENG	0x4F8					
slot	ETC	0x25158	24	UN5_TEXTENG	0x2B0					
slot	ETC	0x25170	32	UN5_TEXTENG	0x600					
slot	ETC	0x25190	16	UN5_TEXTENG	0x578					
slot	ETC	0x251A0	32	UN5_TEXTENG	0x590					
slot	ETC	0x251C0	16	UN5_TEXTENG	0x254F8					
slot	ETC	0x251D0	16	UN5_TEXTENG	0x5F0					
slot	ETC	0x251E0	16	UN5_TEXTENG	0x508					
slot	ETC	0x25208	24	UN5_TEXTENG	0x29DE					
slot	ETC	0x25220	32	UN5_TEXTENG	0x688					
slot	ETC	0x25240	24	UN5_TEXTENG	0x698					
slot	ETC	0x25258	24	UN5_TEXTENG	0x6A8					
slot	ETC	0x25270	64	UN5_TEXTENG	0x5B0					
slot	ETC	0x252B0	48	UN5_TEXTENG	0x5E0					
slot	ETC	0x252E0	48	UN5_TEXTENG	0x100					
slot	ETC	0x25310	48	UN5_TEXTENG	0x120					
slot	ETC	0x25340	48	UN5_TEXTENG	0x1C0					
slot	ETC	0x25370	48	UN5_TEXTENG	0x1A0					
slot	ETC	0x253A0	48	UN5_TEXTENG	0x140					
slot	ETC	0x253D0	48	UN5_TEXTENG	0x210					
slot	ETC	0x25400	48	UN5_TEXTENG	0x180					
slot	ETC	0x25430	64	UN5_TEXTENG	0x230					
slot	ETC	0x25470	48	UN5_TEXTENG	0x250					
slot	ETC	0x254A0	48	UN5_TEXTENG	0x270					
slot	ETC	0x254D0	48	UN5_TEXTENG	0x290					
slot	ETC	0x25500	48	UN5_TEXTENG	0x1F0					
slot	ETC	0x25530	32	UN5_TEXTENG	0x358					
slot	ETC	0x25550	48	UN5_TEXTENG	0x348					
slot	ETC	0x25580	16	UN5_TEXTENG	0x3B8					
slot	ETC	0x25590	32	UN5_TEXTENG	0x370					
slot	ETC	0x255B0	32	UN5_TEXTENG	0x3A0					
slot	ETC	0x255D0	32	UN5_TEXTENG	0x2F0					
slot	ETC	0x255F0	48	UN5_TEXTENG	0x330					
slot	ETC	0x25620	64	UN5_TEXTENG	0x160					
slot	ETC	0x25660	48	UN5_TEXTENG	0x2B0					
slot	ETC	0x25690	32	UN5_TEXTENG	0x2D0					
slot	ETC	0x256B0	24	UN5_TEXTENG	0x318					
slot	ETC	0x256C8	24	UN5_TEXTENG	0x4AD					
slot	ETC	0x256E0	32	UN5_TEXTENG	0x48D					
slot	ETC	0x25700	32	UN5_TEXTENG	0x308					
slot	ETC	0x25720	32	UN5_TEXTENG	0x44D					
slot	ETC	0x25740	32	UN5_TEXTENG	0x1D8					
slot	ETC	0x25770	48	UN5_TEXTENG	0x3D0					
slot	ETC	0x257A0	48	UN5_TEXTENG	0x3F0					
slot	ETC	0x257D0	32	UN5_TEXTENG	0x410					
slot	ETC	0x257F0	48	UN5_TEXTENG	0x420					
slot	ETC	0x25820	32	UN5_TEXTENG	0x430					
slot	ETC	0x25840	48	UN5_TEXTENG	0x440					
slot	ETC	0x25870	48	UN5_TEXTENG	0x460					
slot	ETC	0x258A0	48	UN5_TEXTENG	0x480					
slot	ETC	0x258D0	48	UN5_TEXTENG	0x4A0					
slot	ETC	0x25900	40	UN5_TEXTENG	0x4C0					
slot	ETC	0x25928	28	UN5_ETC	0x28959					
slot	ETC	0x25F50	24	UN5_TEXTENG	0x3208					
slot	ETC	0x26010	40	UN5_TEXTENG	0x32B0					
slot	ETC	0x26090	40	UN5_TEXTENG	0x3316					
slot	ETC	0x260D0	32	UN5_TEXTENG	0x3330					
slot	ETC	0x26180	24	UN5_TEXTENG	0x33B0					
slot	ETC	0x26458	16	UN5_TEXTENG	0x35C0					
slot	ETC	0x265E0	32	UN5_TEXTENG	0x36E0					
slot	ETC	0x26630	16	UN5_TEXTENG	0x9C36					
slot	ETC	0x26650	24	UN5_TEXTENG	0x3748					
slot	ETC	0x266C0	40	UN5_TEXTENG	0x37B8					
slot	ETC	0x26730	32	UN5_TEXTENG	0x37F8					
slot	ETC	0x26800	24	UN5_TEXTENG	0x38A0					
slot	ETC	0x26880	32	UN5_TEXTENG	0x390A					
slot	ETC	0x26920	40	UN5_TEXTENG	0x398D					
slot	ETC	0x26A70	48	UN5_TEXTENG	0x3A93					
slot	ETC	0x26AB0	32	UN5_TEXTENG	0x217B					
slot	ETC	0x26B60	32	UN5_TEXTENG	0x3B08					
slot	ETC	0x26C00	32	UN5_TEXTENG	0x60F8					
slot	ETC	0x26E40	16	UN5_TEXTENG	0x8C5					
slot	ETC	0x26EC8	28	UN5_TEXTENG	0x49D8					
slot	ETC	0x286C0	48	UN5_TEXTENG	0x40FB					
slot	ETC	0x28AE0	32	UN5_TEXTENG	0x43C8					
slot	ETC	0x29740	32	UN5_TEXTENG	0x4C18					
slot	ETC	0x29760	32	UN5_TEXTENG	0x433B					
slot	ETC	0x29830	32	UN5_TEXTENG	0x4CC0					
slot	ETC	0x29A90	32	UN5_TEXTENG	0x440C					
slot	ETC	0x2B2E0	48	UN5_TEXTENG	0x1CC18					
slot	ETC	0x2B310	32	UN5_TEXTENG	0x2C67					
slot	ETC	0x2B360	32	UN5_TEXTENG	0x2CA0					
slot	ETC	0x2B3A0	32	UN5_TEXTENG	0x2CD8					
slot	ETC	0x2B410	32	UN5_TEXTENG	0x2D20					
slot	ETC	0x2B4C0	32	UN5_TEXTENG	0x2D98					
slot	ETC	0x2B500	32	UN5_TEXTENG	0x2DD0					
slot	ETC	0x2B590	32	UN5_TEXTENG	0x2E40					
slot	ETC	0x2B600	48	UN5_TEXTENG	0x2E78					
slot	ETC	0x2B690	16	UN5_TEXTENG	0x15D8D					
slot	ETC	0x2B7F0	32	UN5_TEXTENG	0x2F82					
slot	ETC	0x2B898	28	UN5_TEXTENG	0x2FF8					
slot	ETC	0x2BB80	32	UN5_TEXTENG	0x28860					
slot	ETC	0x2BBA0	32	UN5_TEXTENG	0x4AA9					
slot	ETC	0x2BC00	32	UN5_TEXTENG	0x1F00					
slot	ETC	0x2BC20	16	UN5_TEXTENG	0x28869					
slot	ETC	0x2BC48	24	UN5_TEXTENG	0x1F38					
slot	ETC	0x2BCE0	32	UN5_TEXTENG	0x1FA0					
slot	ETC	0x2BD60	48	UN5_TEXTENG	0x1FF4					
slot	ETC	0x2BEA0	32	UN5_TEXTENG	0x20B8					
slot	ETC	0x2BF00	32	UN5_TEXTENG	0x2108					
slot	ETC	0x2BFA0	32	UN5_TEXTENG	0x2160					
slot	ETC	0x2C080	40	UN5_TEXTENG	0x28820					
slot	ETC	0x2C160	32	UN5_TEXTENG	0x22C8					
slot	ETC	0x2C1E0	32	UN5_TEXTENG	0x2318					
slot	ETC	0x2C2D0	32	UN5_TEXTENG	0x2539					
slot	ETC	0x2C2F0	32	UN5_TEXTENG	0x23C8					
slot	ETC	0x2C370	32	UN5_TEXTENG	0x2418					
slot	ETC	0x2C390	24	UN5_TEXTENG	0x2428					
slot	ETC	0x2C470	32	UN5_TEXTENG	0x24F0					
slot	ETC	0x2C490	32	UN5_TEXTENG	0x2500					
slot	ETC	0x2C4D0	48	UN5_TEXTENG	0x2530					
slot	ETC	0x2C500	32	UN5_TEXTENG	0x2540					
slot	ETC	0x2C600	32	UN5_TEXTENG	0x25E8					
slot	ETC	0x2C640	24	UN5_TEXTENG	0x2608					
slot	ETC	0x2C658	24	UN5_TEXTENG	0x2618					
slot	ETC	0x2C6C0	32	UN5_TEXTENG	0x2668					
slot	ETC	0x2C710	32	UN5_TEXTENG	0x2698					
slot	ETC	0x2C7F0	48	UN5_TEXTENG	0x26EA					
slot	ETC	0x2C850	32	UN5_TEXTENG	0x2720					
slot	ETC	0x2C8D0	32	UN5_TEXTENG	0x2768					
slot	ETC	0x2CA20	32	UN5_TEXTENG	0x2880					
slot	ETC	0x2CA40	48	UN5_TEXTENG	0x2894					
slot	ETC	0x2CA70	32	UN5_TEXTENG	0x28A8					
slot	ETC	0x2CAE0	32	UN5_TEXTENG	0x28E8					
slot	ETC	0x2CBA0	48	UN5_TEXTENG	0x2990					
slot	ETC	0x2CBD0	32	UN5_TEXTENG	0x29B4					
slot	ETC	0x2CC30	32	UN5_TEXTENG	0x2A10					
slot	ETC	0x2CC50	40	UN5_TEXTENG	0x2A30					
slot	ETC	0x2CCB0	16	UN5_TEXTENG	0x2A78					
slot	ETC	0x2CDF0	32	UN5_TEXTENG	0x2B70					
slot	ETC	0x2CE30	32	UN5_TEXTENG	0x21B9					
slot	ETC	0x2CE90	32	UN5_TEXTENG	0x2BE8					
slot	ETC	0x2DDA0	24	UN5_TEXTENG	0x3E78					
slot	ETC	0x2EE50	32	UN5_TEXTENG	0x778					
slot	ETC	0x2F230	112	UN5_TEXTENG	0x1490					
slot	ETC	0x2F3F0	112	UN5_TEXTENG	0x1550					
slot	ETC	0x2F460	160	UN5_TEXTENG	0x1580					
slot	ETC	0x2F8B0	48	UN5_TEXTENG	0x18A0					
slot	SLPS	0x4B2230	176	UN5_TEXTENG	0x1240					
slot	SLPS	0x4B22E0	80	UN5_TEXTENG	0x12D0					
slot	SLPS	0x4B2330	80	UN5_TEXTENG	0x1300					
slot	SLPS	0x4B2380	176	UN5_TEXTENG	0x1330					
slot	SLPS	0x4B2430	176	UN5_TEXTENG	0x1380					
slot	SLPS	0x503110	5	UN5_SLES	0x513E50					
slot	SLPS	0x503118	7	UN5_SLES	0x513E4C					
slot	SLPS	0x5031A0	5	UN5_SLES	0x513E50					
slot	SLPS	0x5031A8	7	UN5_SLES	0x513E4C					
slot	SLPS	0x504668	7	UN5_SLES	0x513E4C					
slot	SLPS	0x504738	8	UN5_SLES	0x513EF0					
slot	SLPS	0x504740	8	UN5_SLES	0x4AFD6D					
slot	SLPS	0x504748	8	UN5_SLES	0x513EF8					
slot	SLPS	0x504750	8	UN5_SLES	0x50B711					
slot	SLPS	0x505AD8	7	UN5_SLES	0x513E4C					
slot	SLPS	0x505B48	8	UN5_SLES	0x514220					
slot	SLPS	0x505B50	8	UN5_SLES	0x4B9519					
slot	SLPS	0x505B58	8	UN5_SLES	0x514230					
slot	SLPS	0x505B60	8	UN5_SLES	0x514238					
slot	SLPS	0x505B68	8	UN5_SLES	0x514240					
slot	SLPS	0x505B70	8	UN5_SLES	0x514248					
slot	SLPS	0x505B78	8	UN5_SLES	0x514250					
slot	SLPS	0x505B80	8	UN5_SLES	0x4B9519					
slot	SLPS	0x505B98	8	UN5_SLES	0x514278					
slot	SLPS	0x505BA0	8	UN5_SLES	0x4AFE80					
slot	SLPS	0x505BB0	8	UN5_SLES	0x513EF8					
slot	SLPS	0x505BB8	8	UN5_SLES	0x50B711					
slot	SLPS	0x505BC8	8	UN5_SLES	0x514280					
slot	SLPS	0x505BE0	8	UN5_SLES	0x513F18					
slot	SLPS	0x505BF0	8	UN5_SLES	0x513F10					
slot	SLPS	0x505BF8	8	UN5_SLES	0x514290					
slot	SLPS	0x505C00	8	UN5_SLES	0x514298					
slot	SLPS	0x505C08	8	UN5_SLES	0x513E4C					
slot	SLPS	0x505C10	8	UN5_SLES	0x5142A0					
slot	SLPS	0x505C18	8	UN5_SLES	0x4AFE80					
slot	SLPS	0x505C28	8	UN5_SLES	0x5142A8					
slot	SLPS	0x505C30	8	UN5_SLES	0x51425B					
slot	SLPS	0x505C40	8	UN5_SLES	0x5142B8					
slot	SLPS	0x505C70	8	UN5_TEXTENG	0x2726					
slot	SLPS	0x505CA0	8	UN5_SLES	0x5142E0					
slot	SLPS	0x505CA8	8	UN5_SLES	0x4AFF1D					
slot	SLPS	0x505CB8	8	UN5_SLES	0x513EF0					
slot	SLPS	0x505CC0	8	UN5_SLES	0x4AFD6D					
slot	SLPS	0x505CC8	8	UN5_SLES	0x5142F8					
slot	SLPS	0x506450	8	UN5_SLES	0x513D18					
slot	SLPS	0x506458	8	UN5_SLES	0x4AFEDC					
slot	SLPS	0x506460	8	UN5_SLES	0x513DD8					
slot	SLPS	0x506468	8	UN5_SLES	0x513D38					
slot	SLPS	0x506470	8	UN5_SLES	0x513E28					
slot	SLPS	0x506478	8	UN5_SLES	0x513D20					
slot	SLPS	0x506480	8	UN5_SLES	0x513E00					
slot	SLPS	0x506488	8	UN5_SLES	0x513E08					
slot	SLPS	0x506490	8	UN5_SLES	0x513D90					
slot	SLPS	0x506498	8	UN5_SLES	0x513E20					
slot	SLPS	0x5064A0	8	UN5_SLES	0x513D28					
slot	SLPS	0x5064A8	8	UN5_SLES	0x513DD0					
slot	SLPS	0x5064B0	8	UN5_SLES	0x513D70					
slot	SLPS	0x5064B8	8	UN5_SLES	0x513D78					
slot	SLPS	0x5064C0	8	UN5_SLES	0x513D80					
slot	SLPS	0x5064C8	8	UN5_SLES	0x513D58					
slot	SLPS	0x506648	8	UN5_SLES	0x5143A8					
slot	SLPS	0x506650	8	UN5_SLES	0x513E28					
slot	SLPS	0x506658	8	UN5_SLES	0x513D90					
slot	SLPS	0x506660	8	UN5_SLES	0x513DC0					
slot	SLPS	0x506668	8	UN5_SLES	0x513E00					
slot	SLPS	0x506670	8	UN5_SLES	0x513E20					
slot	SLPS	0x5066A8	7	UN5_SLES	0x513E4C					
slot	SLPS	0x506760	5	UN5_SLES	0x513E50					
slot	SLPS	0x506768	7	UN5_SLES	0x513E4C					
slot	SLPS	0x506FA8	5	UN5_SLES	0x513E50					
slot	SLPS	0x506FB0	7	UN5_SLES	0x513E4C					
pool	BTL			UN5_TEXTENG	0xFA0	0x20A810	2144	0x6B3F00	0x20A800	
pool	BTL			UN5_TEXTENG	0xF238	0x20A810	2144	0x6B3F00	0x209DD4,0x20A270,0x20A7CC	
pool	BTL			UN5_TEXTENG	0xF8D0	0x20A810	2144	0x6B3F00	0x20A7E0	
pool	BTL			UN5_TEXTENG	0xF8E8	0x20A810	2144	0x6B3F00	0x20A7E8	
pool	BTL			UN5_TEXTENG	0xF900	0x20A810	2144	0x6B3F00	0x20A7F8	
pool	BTL			UN5_TEXTENG	0xF9C0	0x20A810	2144	0x6B3F00	0x20B070	
pool	BTL			UN5_TEXTENG	0xFA20	0x20A810	2144	0x6B3F00	0x20B074	
pool	BTL			UN5_TEXTENG	0xFAA0	0x20A810	2144	0x6B3F00	0x20B078	
pool	BTL			UN5_TEXTENG	0xFB10	0x20A810	2144	0x6B3F00	0x20B080	
pool	BTL			UN5_TEXTENG	0xFB80	0x20A810	2144	0x6B3F00	0x20B084	
pool	BTL			UN5_TEXTENG	0xFBF0	0x20A810	2144	0x6B3F00	0x20B088	
pool	BTL			UN5_TEXTENG	0xFC60	0x20A810	2144	0x6B3F00	0x20B08C	
pool	BTL			UN5_TEXTENG	0xFCF0	0x20A810	2144	0x6B3F00	0x20B090	
pool	BTL			UN5_TEXTENG	0xFD60	0x20A810	2144	0x6B3F00	0x20B098	
pool	BTL			UN5_TEXTENG	0xFD90	0x20A810	2144	0x6B3F00	0x20B09C	
pool	BTL			UN5_TEXTENG	0xFDE0	0x20A810	2144	0x6B3F00	0x20B0A0	
pool	BTL			UN5_TEXTENG	0xFE30	0x20A810	2144	0x6B3F00	0x20B0A4	
pool	BTL			UN5_TEXTENG	0xFE80	0x20A810	2144	0x6B3F00	0x20B0A8	
pool	BTL			UN5_TEXTENG	0xFEC0	0x20A810	2144	0x6B3F00	0x20B0AC	
pool	BTL			UN5_TEXTENG	0xFF00	0x20A810	2144	0x6B3F00	0x20B0B0	
pool	SLPS			UN5_TEXTENG	0xF08	0x4B2640	80	0xFFF00	0x4B26A4	
pool	SLPS			UN5_TEXTENG	0xF18	0x4B2640	80	0xFFF00	0x4B26A0	
pool	SLPS			UN5_TEXTENG	0xF28	0x4B2640	80	0xFFF00	0x4B269C	
pool	SLPS			UN5_TEXTENG	0x1450	0x4B2640	80	0xFFF00	0x4B2690	
pool	SLPS			UN5_TEXTENG	0xF218	0x4B2640	80	0xFFF00	0x505B94,0x505BAC,0x505C68	
pool	SLPS			UN5_SLES	0x513ED0	0x4B2640	80	0xFFF00	0x4B2698	
unresolved	BTL	0x1DBAB0	34							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1DD140	16							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1DD150	16							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E1F90	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E1FD0	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2110	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2670	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2690	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E26B0	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E26D0	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E26F0	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2710	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2730	48							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2760	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2780	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E27A0	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E27E0	48							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2850	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E2890	32							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
unresolved	BTL	0x1E28B0	48							NO_VERIFIED_OFFICIAL_SOURCE_OFFSET
