id	offset_hex	slot_capacity	source_japanese	chosen_translation	notes	enabled
ETC_0045	0x255B0	32	<r二代目火影|にだいめほかげ>	2nd Hokage	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0046	0x255D0	32	<r三代目火影|さんだいめほかげ>	3rd Hokage	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0047	0x255F0	48	<r黄色|きいろ>い<r閃光|せんこう>	Yellow Flash	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0048	0x25620	64	<r砂瀑|さばく>の<r我愛羅|ガアラ>（<r旧章|きゅうしょう>）	Gaara (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0049	0x25660	48	カンクロウ（<r旧章|きゅうしょう>）	Kankuro (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0050	0x25690	32	テマリ（<r旧章|きゅうしょう>）	Temari (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0051	0x256B0	24	<r君麻呂|キミマロ>	Kimimaro	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0052	0x256C8	24	<r左近|サコン>	Sakon	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0053	0x256E0	32	<r多由也|タユヤ>	Tayuya	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0054	0x25700	32	<r鬼童丸|キドウマル>	Kidomaru	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0055	0x25720	32	<r次郎坊|ジロウボウ>	Jirobo	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0056	0x25740	32	<r桃地|ももち><r再不斬|ザブザ>	Zabuza Momochi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0057	0x25760	16	<r白|ハク>	Haku	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0058	0x25770	48	うずまきナルト（<r九尾|きゅうび>）	Naruto (Nine-Tails)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0059	0x257A0	48	うちはサスケ<r状態|じょうたい>２	Sasuke State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0060	0x257D0	32	すい<r拳|けん>リー	Drunken Lee	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0061	0x257F0	48	<r憑依体我愛羅|ひょういたいガアラ>	Shukaku Gaara	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0062	0x25820	32	<r超|ちょう>チョウジ	Super Choji	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0063	0x25840	48	<r次郎坊|ジロウボウ><r状態|じょうたい>２	Jirobo State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0064	0x25870	48	<r鬼童丸|キドウマル><r状態|じょうたい>２	Kidomaru State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0065	0x258A0	48	<r多由也|タユヤ><r状態|じょうたい>２	Tayuya State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0066	0x258D0	48	<r左近|サコン><r状態|じょうたい>２	Sakon State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0067	0x25900	40	<r君麻呂|キミマロ><r状態|じょうたい>２	Kimimaro State 2	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0068	0x25928	28	ジオラマ	Diorama	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0069	0x25D00	40	<r影分身|かげぶんしん>の<r術|じゅつ>	Shadow Clone	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0070	0x25D40	24	<r暴走|ぼうそう>	Rampage	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0071	0x25D70	40	<r気|き>を<r引|ひ>き<r締|し>めて…	Stay Sharp...	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0072	0x25DB0	24	<r女|おんな>らしく	Like a Lady	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0073	0x25DE0	32	<r拳|こぶし>に<r力|ちから>を！	Power Fist!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0074	0x25E10	48	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>	Super Beast Scroll	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0075	0x25E50	24	<r索敵|さくてき>	Search	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0076	0x25E80	24	<r飛翔|ひしょう>	Flight	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0077	0x25EF0	32	<r牽制攻撃|けんせいこうげき>	Feint Attack	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0078	0x25F20	32	<r忍犬口寄|にんけんくちよ>せ	Ninken Summon	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0079	0x25F50	24	<r柔拳|じゅうけん>	Gentle Fist	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0080	0x25F80	32	<r八卦空掌|はっけくうしょう>	Air Palm	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0081	0x25FE0	32	<r戦闘姿勢|せんとうしせい>	Battle Stance	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0082	0x26010	40	<r木|こ>ノ<r葉昇風|はしょうふう>	Leaf Rising Wind	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0083	0x26050	40	<r限界|げんかい>を<r超|こ>えろ！	Break Limits!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0084	0x26090	40	<r忍具|にんぐ>の<r使|つか>い<r手|て>	Tool User	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0085	0x260D0	32	<r棒体術|ぼうたいじゅつ>	Staff Taijutsu	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0086	0x26140	40	<r熱血青春|ねっけつせいしゅん>ポーズ！	Hot-Blooded Pose!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0087	0x26180	24	<r朝孔雀|あさくじゃく>	Morning Peacock	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0088	0x261B0	24	<r開門|かいもん>ッ！	Open Gate!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0089	0x261E8	16	ホラよっ！	Here!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0090	0x26210	40	<r忍法|にんぽう>・<r影縫|かげぬ>い	Shadow Stitching	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0091	0x26320	24	かわいさアピール	Cute Appeal	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0092	0x26350	32	<r綺麗|きれい>な<r花|はな>	Pretty Flower	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0093	0x263A0	24	<r装着|そうちゃく>！	Equip!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0094	0x263D0	24	<r一閃|いっせん>！	Flash!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0095	0x26400	24	<r登場|とうじょう>	Entrance	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0096	0x26458	16	ダイナミック！	Dynamic!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0097	0x26480	32	<r静|しず>かな<r男|おとこ>	Quiet Man	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0098	0x264B0	24	<r寄壊蟲|きかいちゅう>	Destruction Bugs	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0099	0x26580	24	<r掌打|しょうだ>！	Palm Strike!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0100	0x265E0	32	<r幻術発動|げんじゅつはつどう>	Genjutsu Activate	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0101	0x26610	16	こんなものね	That's That	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0102	0x26630	16	<r威圧|いあつ>	Pressure	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0103	0x26650	24	<r砂|すな>の<r殻|から>	Sand Shell	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0104	0x26680	24	<r逃|に>がさん…	No Escape...	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0105	0x266C0	40	<r傀儡|くぐつ>の<r巻物|まきもの>	Puppet Scroll	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0106	0x26730	32	<r巨大扇子|きょだいせんす>	Giant Fan	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0107	0x26800	24	<r父|ちち>と<r母|はは>	Father and Mother	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0108	0x26880	32	<r鋭|するど>い<r蹴|け>り	Sharp Kick	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0109	0x268B0	24	<r幻術|げんじゅつ>！？	Genjutsu!?	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0110	0x26920	40	<r大刀|だいとう>・<r鮫肌|サメハダ>	Samehada	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0111	0x269D0	32	<r芸術作品|げいじゅつさくひん>	Artwork	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0112	0x26A00	32	<r空|そら>から<r攻|せ>める！	Attack from Above!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0113	0x26A30	40	<r完璧|かんぺき>なる<r攻守|こうしゅ>	Perfect Off/Def	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0114	0x26A70	48	<r一番|いちばん>のお<r気|き>に<r入|い>り	Favorite	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0115	0x26AB0	32	<r自分自身|じぶんじしん>	Myself	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0116	0x26B10	56	<r四代目|よんだいめ>が<r遺|のこ>した<r術|じゅつ>	4th's Jutsu	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0117	0x26B60	32	<r蝦蟇仙人|ガマせんにん>	Toad Sage	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0118	0x26C00	32	<r痛天脚|つうてんきゃく>	Heaven Kick	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0119	0x26C70	24	<r突撃|とつげき>！	Charge!	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0120	0x26CF0	48	<r木遁|もくとん>・<r木錠壁|もくじょうへき>	Wood Locking Wall	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0121	0x26D30	32	<r不敵|ふてき>な<r笑|え>み	Fearless Smile	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0122	0x26D60	40	<r潜影多蛇手|せんえいたじゃしゅ>	Hidden Shadow Snakes	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0123	0x26DA0	40	<r脅威|きょうい>の<r存在|そんざい>	Threat	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0124	0x26DE0	48	<r大蛇丸|オロチまる>への<r忠誠|ちゅうせい>	Loyal to Orochimaru	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0125	0x26E40	16	ストック	Stock	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0126	0x26EC8	28	<r千鳥|ちどり>	Chidori	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0127	0x28610	48	<r雷切|らいきり>・<r一尖|いっせん>	Raikiri: Issen	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0128	0x28670	32	コピー<r忍術|にんじゅつ>	Copy Ninjutsu	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0129	0x286C0	48	<r八卦六十四掌|はっけろくじゅうよんしょう>	64 Palms	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0130	0x28AE0	32	<r砂縛牢|さばくろう>	Sand Prison	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0131	0x29740	32	<r牙通牙|がつうが>	Fang Over Fang	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0132	0x29760	32	<r牙狼牙|がろうが>	Wolf Fang	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0133	0x29830	32	<r白眼|びゃくがん>	Byakugan	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0134	0x29A60	48	<r飛雷神|ひらいしん>の<r術|じゅつ>	Flying Raijin	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0135	0x29A90	32	<r砂瀑大葬|さばくたいそう>	Sand Burial	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0136	0x2B2E0	48	<r木|こ>ノ<r葉|は><r隠|がく>れの<r里|さと>	Hidden Leaf	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0137	0x2B310	32	<r木|こ>ノ<r葉|は>の<r門|もん>	Leaf Gate	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0138	0x2B330	48	<r五封結界|ごふうけっかい>の<r崖|がけ>	Five-Seal Cliff	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0139	0x2B360	32	<r暁|あかつき>のアジト	Akatsuki Hideout	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0140	0x2B380	32	<r根|ね>の<r本部|ほんぶ>	Root HQ	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0141	0x2B3A0	32	<r天地橋|てんちきょう>	Tenchi Bridge	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0142	0x2B3C0	32	<r大蛇丸|オロチまる>のアジト	Orochimaru Hideout	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0143	0x2B3E0	48	<r大蛇|だいじゃ>の<r祭壇|さいだん>	Great Snake Altar	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0144	0x2B410	32	<r賑|にぎ>わいの<r里|さと>	Busy Village	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0145	0x2B430	32	<r火影|ほかげ>の<r屋敷|やしき>	Hokage Mansion	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0146	0x2B450	32	<r世界|せかい>を<r駆|か>ける	Across the World	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0147	0x2B470	32	<r砂隠|すながく>れの<r里|さと>	Hidden Sand	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0148	0x2B490	48	<r邪傑|じゃけつ>の<r巣穴|すあな>	Villain Lair	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0149	0x2B4C0	32	<r赤雲|せきうん>	Red Clouds	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0150	0x2B4E0	32	<r激戦|げきせん>を<r越|こ>えて	After Fierce Battle	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0151	0x2B500	32	カカシ<r道場|どうじょう>	Kakashi Dojo	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0152	0x2B520	32	やすらぎと<r再会|さいかい>と	Peace and Reunion	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0153	0x2B540	32	<r暗雲|あんうん><r来|きた>る	Dark Clouds	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0154	0x2B560	48	<r風影|かぜかげ><r襲撃|しゅうげき>	Kazekage Assault	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0155	0x2B590	32	<r緊急指令|きんきゅうしれい>	Emergency Order	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0156	0x2B5B0	32	<r走|はし>る<r緊迫|きんぱく>	Rising Tension	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0157	0x2B5D0	48	<r恐|おそ>ろしき<r怪人|かいじん>	Fearsome Monster	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0158	0x2B600	48	<r真紅|しんく>の<r激闘|げきとう>	Crimson Battle	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0159	0x2B630	48	<r闇|やみ>を<r抱|いだ>きし<r者|もの>たち	Those Bearing Darkness	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0160	0x2B660	48	<r虚|うつ>ろ<r消|き>えゆく<r世界|せかい>	Fading Hollow World	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0161	0x2B690	16	<r絆|きずな>	Bonds	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0162	0x2B6A0	48	<r偽|いつわ>りの<r存在|そんざい>	False Existence	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0163	0x2B6D0	48	<r最凶|さいきょう>の<r傀儡師|くぐつし>	Deadliest Puppeteer	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0164	0x2B700	32	<r決意|けつい><r固|かた>めて	Firm Resolve	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0165	0x2B720	32	サクラ<r舞|ま>う	Sakura Dances	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0166	0x2B740	48	<r猛|た>け<r吼|ほ>ゆる<r者|もの>	Roaring Beast	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0167	0x2B770	48	<r願|ねが>い…<r空|そら>に<r舞|ま>いて	Wish in the Sky	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0168	0x2B7A0	48	<r新生|しんせい>の<r一斑|いっぱん>	New Team	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0169	0x2B7D0	32	<r碧|あお>き<r背中|せなか>	Blue Back	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0170	0x2B7F0	32	<r巨悪現|きょあくあらわ>る	Great Evil Appears	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0171	0x2B810	48	<r荒|あ>れ<r狂|くる>う<r獣|けもの>	Raging Beast	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0172	0x2B840	48	<r切迫|せっぱく>の<r二人|ふたり>	Two in Crisis	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0173	0x2B870	40	<r帰|かえ>るべき<r場所|ばしょ>へ	Where We Belong	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
