mapping_id	enabled	container_id	target_texture	donor_texture	transform	reason
UI-MODE1-017	1	mode1_hnb	x\mode1\tex\hnb\mode1name2.bmp	x\mode1\tex\hnb\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-018	1	mode1_hnt	x\mode1\tex\hnt\mode1name1.bmp	x\mode1\tex\hnt\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-019	1	mode1_hnw	x\mode1\tex\hnt\mode1name1.bmp	x\mode1\tex\hnw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-020	1	mode1_hnw	x\mode1\tex\hnw\mode1name2.bmp	x\mode1\tex\hnw\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-021	1	mode1_ino	x\mode1\tex\ino\mode1name1.bmp	x\mode1\tex\ino\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-022	1	mode1_inw	x\mode1\tex\inw\mode1name1.bmp	x\mode1\tex\inw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-023	1	mode1_itw	x\mode1\tex\itw\mode1name1.bmp	x\mode1\tex\itw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-024	1	mode1_jrb	x\mode1\tex\jrb\mode1name1.bmp	x\mode1\tex\jrb\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-025	1	mode1_jrw	x\mode1\tex\jrw\mode1name1.bmp	x\mode1\tex\jrw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-026	1	mode1_kbw	x\mode1\tex\kbw\mode1name1.bmp	x\mode1\tex\kbw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-027	1	mode1_kdm	x\mode1\tex\kdm\mode1name1.bmp	x\mode1\tex\kdm\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-028	1	mode1_khm	x\mode1\tex\khm\mode1name1.bmp	x\mode1\tex\khm\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-029	1	mode1_khm	x\mode1\tex\khm\mode1name2.bmp	x\mode1\tex\khm\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-030	1	mode1_kib	x\mode1\tex\kib\mode1name1.bmp	x\mode1\tex\kib\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-031	1	mode1_kiw	x\mode1\tex\kiw\mode1name1.bmp	x\mode1\tex\kiw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-032	1	mode1_kkw	x\mode1\tex\kkw\mode1name1.bmp	x\mode1\tex\kkw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-033	1	mode1_kmm	x\mode1\tex\kmm\mode1name1.bmp	x\mode1\tex\kmm\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-034	1	mode1_knk	x\mode1\tex\knk\mode1name1.bmp	x\mode1\tex\knk\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-035	1	mode1_knw	x\mode1\tex\knw\mode1name1.bmp	x\mode1\tex\knw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-036	1	mode1_krw	x\mode1\tex\krw\mode1name1.bmp	x\mode1\tex\krw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-037	1	mode1_ksw	x\mode1\tex\ksw\mode1name1.bmp	x\mode1\tex\ksw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-038	1	mode1_nej	x\mode1\tex\nej\mode1name1.bmp	x\mode1\tex\nej\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-039	1	mode1_new	x\mode1\tex\new\mode1name1.bmp	x\mode1\tex\new\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-040	1	mode1_nrt	x\mode1\tex\nrt\mode1name1.bmp	x\mode1\tex\nrt\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-041	1	mode1_nrw	x\mode1\tex\nrw\mode1name1.bmp	x\mode1\tex\nrw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-042	1	mode1_orw	x\mode1\tex\orw\mode1name1.bmp	x\mode1\tex\orw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-043	1	mode1_roc	x\mode1\tex\roc\mode1name1.bmp	x\mode1\tex\roc\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-044	1	mode1_row	x\mode1\tex\row\mode1name1.bmp	x\mode1\tex\roc\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-045	1	mode1_sai	x\mode1\tex\sai\mode1name1.bmp	x\mode1\tex\sai\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-046	1	mode1_sai	x\mode1\tex\sai\mode1name2.bmp	x\mode1\tex\sai\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-047	1	mode1_sch	x\mode1\tex\sch\mode1name1.bmp	x\mode1\tex\sch\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-048	1	mode1_sco	x\mode1\tex\sco\mode1name1.bmp	x\mode1\tex\sco\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-049	1	mode1_sec	x\mode1\tex\sec\mode1name1.bmp	x\mode1\tex\sec\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-050	1	mode1_sec	x\mode1\tex\sec\mode1name2.bmp	x\mode1\tex\sec\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-051	1	mode1_sik	x\mode1\tex\sik\mode1name1.bmp	x\mode1\tex\sik\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-052	1	mode1_sin	x\mode1\tex\sin\mode1name1.bmp	x\mode1\tex\sin\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-053	1	mode1_siw	x\mode1\tex\siw\mode1name1.bmp	x\mode1\tex\siw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-054	1	mode1_skn	x\mode1\tex\skn\mode1name1.bmp	x\mode1\tex\skn\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-055	1	mode1_skr	x\mode1\tex\skr\mode1name1.bmp	x\mode1\tex\skr\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-056	1	mode1_skw	x\mode1\tex\skw\mode1name1.bmp	x\mode1\tex\skw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-057	1	mode1_snw	x\mode1\tex\snw\mode1name1.bmp	x\mode1\tex\snw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-058	1	mode1_ssk	x\mode1\tex\ssk\mode1name1.bmp	x\mode1\tex\ssk\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-059	1	mode1_ssw	x\mode1\tex\ssw\mode1name1.bmp	x\mode1\tex\ssw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-060	1	mode1_ssw	x\mode1\tex\ssw\mode1name2.bmp	x\mode1\tex\ssw\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-061	1	mode1_szw	x\mode1\tex\szw\mode1name1.bmp	x\mode1\tex\szw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-062	1	mode1_ten	x\mode1\tex\ten\mode1name1.bmp	x\mode1\tex\ten\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-063	1	mode1_tew	x\mode1\tex\tew\mode1name1.bmp	x\mode1\tex\tew\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-064	1	mode1_tmr	x\mode1\tex\tmr\mode1name1.bmp	x\mode1\tex\tmr\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-065	1	mode1_tmw	x\mode1\tex\tmw\mode1name1.bmp	x\mode1\tex\tmw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-066	1	mode1_tnw	x\mode1\tex\tnw\mode1name1.bmp	x\mode1\tex\tnw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-067	1	mode1_tnw	x\mode1\tex\tnd\mode1name2.bmp	x\mode1\tex\tnw\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-068	1	mode1_tyo	x\mode1\tex\tyo\mode1name1.bmp	x\mode1\tex\tyo\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-069	1	mode1_tyw	x\mode1\tex\tyw\mode1name1.bmp	x\mode1\tex\tyw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-070	1	mode1_tyy	x\mode1\tex\tyy\mode1name1.bmp	x\mode1\tex\tyy\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-071	1	mode1_ymt	x\mode1\tex\ymt\mode1name1.bmp	x\mode1\tex\ymt\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-072	1	mode1_zbz	x\mode1\tex\zbz\mode1name1.bmp	x\mode1\tex\zbz\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE-002	1	mode2cmn	x\mode2\tex\mode2name.bmp	x\mode2\tex\mode2name.bmp	copy	Official English mode label.
UI-MODE-003	1	mode2gav	x\mode2\tex\gav\mode2gav.bmp	x\mode2\tex\gav\mode2gav.bmp	copy	English Possession Mode label.
UI-MODE-004	1	mode2jrv	x\mode2\tex\jrv\mode2jrv.bmp	x\mode2\tex\jrv\mode2jrv.bmp	copy	English Curse Mark Mode Stage 2 label.
UI-MODE-005	1	mode2kdv	x\mode2\tex\kdv\mode2kdv.bmp	x\mode2\tex\kdv\mode2kdv.bmp	indexed_top_rows_64	English Curse Mark Mode Stage 2 label; preserve the NA2 portrait and palette to fit the fixed member capacity.
UI-MODE-006	1	mode2kmv	x\mode2\tex\kmv\mode2kmv.bmp	x\mode2\tex\kmv\mode2kmv.bmp	copy	English Curse Mark Mode Stage 2 label.
UI-MODE-007	1	mode2nrv	x\mode2\tex\nrv\mode2nrv.bmp	x\mode2\tex\nrv\mode2nrv.bmp	copy	English Nine-Tailed Mode label.
UI-MODE-008	1	mode2nwv	x\mode2\tex\nwv\mode2nwv.bmp	x\mode2\tex\nwv\mode2nwv.bmp	copy	English Fourth Awakened Mode label.
UI-MODE-009	1	mode2rov	x\mode2\tex\rov\mode2rov.bmp	x\mode2\tex\rov\mode2rov.bmp	copy	English Loopy Fist Mode label.
UI-MODE-010	1	mode2scv	x\mode2\tex\scv\mode2scv.bmp	x\mode2\tex\scv\mode2scv.bmp	copy	English Human Puppet Mode label.
UI-MODE-011	1	mode2skv	x\mode2\tex\skv\mode2skv.bmp	x\mode2\tex\skv\mode2skv.bmp	copy	English Curse Mark Mode Stage 2 label.
UI-MODE-012	1	mode2ssv	x\mode2\tex\ssv\mode2ssv.bmp	x\mode2\tex\ssv\mode2ssv.bmp	copy	English Curse Mark Mode Stage 2 label.
UI-MODE-013	1	mode2tov	x\mode2\tex\tov\mode2tov.bmp	x\mode2\tex\tov\mode2tov.bmp	copy	English Super Choji Mode label.
UI-MODE-014	1	mode2tyv	x\mode2\tex\tyv\mode2tyv.bmp	x\mode2\tex\tyv\mode2tyv.bmp	copy	English Curse Mark Mode Stage 2 label.
UI-MSEL-001	1	modesel1	m\mode\tex\modesel02.bmp	m\mode\tex\modesel02.bmp	copy	English main-menu mode labels.
UI-RASH-001	1	n_rash	x\battle\tex\xrush.bmp	x\battle\tex\xrush.bmp	copy	English button-rush instructions and result labels.
UI-RASH-002	1	n_rash2	x\battle\tex\xrush.bmp	x\battle\tex\xrush.bmp	copy	English button-rush instructions and result labels.
UI-RASH-003	1	n_rash4	x\battle\tex\xrush.bmp	x\battle\tex\xrush.bmp	copy	English button-rush instructions and result labels.
UI-NINMU-001	1	ninmu	r\ninmu\tex\ninmu01.bmp	r\ninmu\tex\ninmu01.bmp	copy	English mission-result labels.
UI-OPT-001	1	option	m\option\tex\option.bmp	m\option\tex\option.bmp	copy	English settings labels.
UI-OPT-002	1	option	m\option\tex\option2.bmp	m\option\tex\option2.bmp	copy	English options and difficulty labels.
UI-OUGI-001	1	ougi	m\ougi\tex\ougi_text_a1.bmp	m\ougi\tex\ougi_text_a1.bmp	split_left	Left half of official English Ultimate Jutsu label.
UI-OUGI-002	1	ougi	m\ougi\tex\ougi_text_a2.bmp	m\ougi\tex\ougi_text_a1.bmp	split_right	Right half of official English Ultimate Jutsu label.
UI-OUGI-003	1	ougi	m\ougi\tex\ougi_text_b1.bmp	m\ougi\tex\ougi_text_b1.bmp	split_left	Left half of official English Reversal label.
UI-OUGI-004	1	ougi	m\ougi\tex\ougi_text_b2.bmp	m\ougi\tex\ougi_text_b1.bmp	split_right	Right half of official English Reversal label.
UI-OUGI-005	1	ougi	m\ougi\tex\ougi_text_c1.bmp	m\ougi\tex\ougi_text_c1.bmp	split_left	Left half of official English Awakened label.
UI-OUGI-006	1	ougi	m\ougi\tex\ougi_text_c2.bmp	m\ougi\tex\ougi_text_c1.bmp	split_right	Right half of official English Awakened label.
UI-OUGI-007	1	ougi	m\ougi\tex\ougi_text_d1.bmp	m\ougi\tex\ougi_text_d1.bmp	split_left	Left half of official English Linked label.
UI-OUGI-008	1	ougi	m\ougi\tex\ougi_text_d2.bmp	m\ougi\tex\ougi_text_d1.bmp	split_right	Right half of official English Linked label.
UI-OUGI-009	1	ougi	m\ougi\tex\ougi_gauge2.bmp	m\ougi\tex\ougi_gauge2.bmp	copy	English Press Spin and button-rush labels.
UI-OUGI-010	1	ougi	m\ougi\tex\ougi_gauge3.bmp	m\ougi\tex\ougi_gauge3.bmp	copy	English Failed and Success labels.
UI-OUGI-011	1	ougi	m\ougi\tex\ougi_spgau1.bmp	m\ougi\tex\ougi_spgau1.bmp	copy	English OK and ERROR labels.
UI-OUGI-012	1	ougi	m\ougi\tex\ougi_spgau2.bmp	m\ougi\tex\ougi_spgau2.bmp	copy	English damage-interruption labels.
UI-PRAC-001	1	prac	m\prac\tex\p_wind1.bmp	m\prac\tex\p_wind1.bmp	copy	Official English OK marker.
UI-PRAC-002	1	prac	m\prac\tex\prac_t01.bmp	m\prac\tex\prac_t01.bmp	copy	English Practice Settings label.
UI-SET-001	1	setting	m\setting\tex\s_menu.bmp	m\setting\tex\s_menu.bmp	copy	English Battle Settings label.
UI-SHOP-001	1	shop	m\shop\tex\buybg.bmp	m\shop\tex\buybg.bmp	copy	English shop background labels.
UI-SHOP-002	1	shop	m\shop\tex\shop_mg.bmp	m\shop\tex\shop_mg.bmp	copy	English shop interaction labels.
UI-SHOP-003	1	shop	m\shop\tex\shop_mg02.bmp	m\shop\tex\shop_mg02.bmp	copy	English shop result labels.
UI-SHOP-004	1	shop	m\shop\tex\shop_t01.bmp	m\shop\tex\shop_t01.bmp	copy	English shop cabinet labels.
UI-SHOP-005	1	shop	m\shop\tex\shop_t02.bmp	m\shop\tex\shop_t02.bmp	copy	English shop category labels.
UI-SPB-001	1	spbattle	x\spbattle\tex\spbattle01.bmp	x\spbattle\tex\spbattle01.bmp	copy	English special-battle menu labels.
UI-SPB-002	1	spbattle	x\spbattle\tex\spbattle02.bmp	x\spbattle\tex\spbattle02.bmp	copy	English special-battle labels and counters.
UI-SPB-003	1	spbattle	x\spbattle\tex\spbattle03.bmp	x\spbattle\tex\spbattle03.bmp	copy	English special-battle result labels.
UI-TITLE-001	1	title	m\t\tex\mtttl02.bmp	m\t\tex\mtttl02.bmp	copy	Official English title and New/Load Game labels.
UI-VS-001	1	vs	m\vs\tex\vs_t01.bmp	m\vs\tex\vs_t01.bmp	copy	English versus-screen labels.
UI-VS-002	1	vs	m\vs\tex\vs_t02.bmp	m\vs\tex\vs_t02.bmp	copy	English versus settings labels.
UI-NINKA-001	1	xninka	m\ninka\tex\xninka.bmp	m\ninka\tex\xninka.bmp	indexed_shift_region_up_11_416_0_96_220	Import the complete official English result-label texture, then shift its packed five-label column upward within transparent donor canvas to compensate for the NA2 renderer's shared vertical displacement.
UI-VICTORY-001	1	enddemo	x\enddemo\tex\enddemo01.bmp	x\enddemo\tex\enddemo01.bmp	copy	Official English Winner emblem; preserve the unrelated NA2 background textures and CCS structure.
UI-VICTORY-002	1	mode1_ank	x\name\ank\name.bmp	x\name\ank\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-003	1	mode1_asw	x\name\asm\name.bmp	x\name\asw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-004	1	mode1_chy	x\name\chy\name.bmp	x\name\chy\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-005	1	mode1_cyb	x\name\chy\name.bmp	x\name\cyb\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-006	1	mode1_ddr	x\name\ddr\name.bmp	x\name\ddr\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-007	1	mode1_fir	x\name\01hkg\name.bmp	x\name\fir\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-008	1	mode1_fou	x\name\fou\name.bmp	x\name\fou\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-009	1	mode1_gaw	x\name\gaw\name.bmp	x\name\gaw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-010	1	mode1_guw	x\name\guy\name.bmp	x\name\guw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-011	1	mode1_hak	x\name\hak\name.bmp	x\name\hak\name.bmp	indexed_crop_transparent_top_left_128x64_nearest_palette_0-1-2-3-4-7-14	Official English Haku victory-name artwork; discard only transparent canvas and use the nearest seven colors from the same donor palette to fit the fixed member.
UI-VICTORY-012	1	mode1_hkg	x\name\hkg\name.bmp	x\name\hkg\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-013	1	mode1_hnb	x\name\hnb\name.bmp	x\name\hnb\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-014	1	mode1_hnt	x\name\hnt\name.bmp	x\name\hnt\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-015	1	mode1_hnw	x\name\hnt\name.bmp	x\name\hnw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-016	1	mode1_ino	x\name\ino\name.bmp	x\name\ino\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-017	1	mode1_inw	x\name\ino\name.bmp	x\name\inw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-018	1	mode1_itw	x\name\itc\name.bmp	x\name\itw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-019	1	mode1_jrb	x\name\jrb\name.bmp	x\name\jrb\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-020	1	mode1_jrw	x\name\jry\name.bmp	x\name\jrw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-021	1	mode1_kbw	x\name\kbt\name.bmp	x\name\kbw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-022	1	mode1_kdm	x\name\kdm\name.bmp	x\name\kdm\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-023	1	mode1_khm	x\name\khm\name.bmp	x\name\khm\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-024	1	mode1_kib	x\name\kib\name.bmp	x\name\kib\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-025	1	mode1_kiw	x\name\kib\name.bmp	x\name\kiw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-026	1	mode1_kkw	x\name\kks\name.bmp	x\name\kkw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-027	1	mode1_kmm	x\name\kmm\name.bmp	x\name\kmm\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-028	1	mode1_knk	x\name\knk\name.bmp	x\name\knk\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-029	1	mode1_knw	x\name\knk\name.bmp	x\name\knw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-030	1	mode1_krw	x\name\krn\name.bmp	x\name\krw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-031	1	mode1_ksw	x\name\ksm\name.bmp	x\name\ksw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-032	1	mode1_nej	x\name\nej\name.bmp	x\name\nej\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-033	1	mode1_new	x\name\nej\name.bmp	x\name\new\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-034	1	mode1_nrt	x\name\nrt\name.bmp	x\name\nrt\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
