id	en	jp
page.chakra.heading	Chakra Settings	チャクラ設定
page.gauge.heading	Gauge Settings	ゲージ設定
page.items.heading	Items Settings	アイテム設定
page.mod_settings.title	Mod Settings	ＭＯＤ設定
page.battle_mechanics.title	Battle Mechanics	バトルシステム
page.battle_mechanics.help	Configure battle mechanics.	バトルシステムを設定します。
page.battle_settings.title	Battle Settings	バトル設定
page.battle_settings.help	Configure battle settings.	バトルのルールを設定します。
page.practice_settings.title	Practice Settings	演習設定
page.practice_settings.help	Configure practice settings.	演習の設定を変更します。
page.substitution.title	Substitution	変わり身
page.substitution.help	Configure substitution.	変わり身を設定します。
page.chakra.help	Configure chakra.	チャクラを設定します。
page.gauge.help	Configure gauge.	ゲージを設定します。
page.items.help	Configure items.	アイテムを設定します。
page.custom.title	Custom	カスタム
page.custom.help	Configure custom.	カスタム設定を変更します。
page.opponent_settings.title	Opponent Settings	相手の設定
page.opponent_settings.help	Configure opponent settings.	相手の動作を設定します。
character_select.no_support	NO SUPPORT	サポートなし
startup.loaded	Save data loaded	セーブデータを読み込みました
startup.no_save_data	No save data found	セーブデータがありません
startup.no_game_data	No game data found	ゲームデータがありません
startup.no_card	No memory card detected	メモリーカードがありません
startup.unformatted_card	Memory card is not formatted	メモリーカードが未フォーマットです
startup.unsupported_card	Unsupported memory card	対応していないメモリーカードです
startup.load_failed	Save data could not be loaded	セーブデータを読み込めませんでした
startup.incompatible_heading	The existing save data	既存のセーブデータは
startup.incompatible_version	uses version {0}.	バージョン{0}です。
save.required_version	Version {0} is required.	バージョン{0}が必要です。
startup.play_time	Play Time {0}	プレイ時間 {0}
startup.saved_time	Saved {0}	保存日時 {0}
save.upgrade_confirm	Upgrade the existing save data?\nYour progress will be kept.	セーブデータを更新しますか？\n進行状況は引き継がれます。
save.unsupported_format	The existing save data\nuses an unsupported format.\nIt cannot be loaded or changed.	既存のセーブデータは\n対応していない形式です。\n読み込みや変更はできません。
save.existing_version	The existing save data uses version {0}.	既存のセーブデータはバージョン{0}です。
save.newer_game_required	A newer game version is needed.	新しいゲームバージョンが必要です。
save.cannot_upgrade	This version cannot be upgraded.	このバージョンは更新できません。
save.upgrade_failed	The save data could not be upgraded.	セーブデータを更新できませんでした。
save.upgrading	Upgrading the existing save data...	セーブデータを更新しています…
item.health_recovery	Health Recovery	体力回復
item.chakra_ball	Chakra Ball	チャクラ玉
item.shoes_of_jonin	Shoes of Jonin	上忍の靴
item.food_pills	Food Pills	兵糧丸
item.scroll_of_hidden_cloud	Scroll of Hidden Cloud	隠れ雲の巻物
item.scroll_of_teleportation	Scroll of Teleportation	瞬身の巻物
item.scarecrow	Scarecrow	かかし
item.tortoiseshell_pills	Tortoiseshell Pills	亀甲丸
item.energy_pills	Energy Pills	増力丸
item.medical_pack	Medical Pack	救急セット
item.item_pouch	Item Pouch	道具袋
item.demon_wind_shuriken	Demon Wind Shuriken	風魔手裏剣
item.weight_of_determination	Weight of Determination	根性の重り
item.exploding_kunai	Exploding Kunai	爆発クナイ
item.poison_smoke_bomb	Poison Smoke Bomb	毒煙玉
item.makibishi_spikes	Makibishi Spikes	まきびし
item.paper_bomb	Paper Bomb	起爆札
item.curse_tag_chakra_points_seal	Curse Tag: Chakra Points Seal	呪札・点穴封印
item.curse_tag_armor_break	Curse Tag: Armor Break	呪札・防御崩し
item.thousand_shadow_shuriken	1000-Shadow Shuriken	千影手裏剣
item.burst_kunai	Burst Kunai	連発クナイ
item.exploding_seal	Exploding Seal	爆発封印
item.toad_oil	Toad Oil	ガマ油
item.random_ball	Random Ball	ランダム玉
item.stun_ball	Stun Ball	しびれ玉
character_select.tier	TIER {0}	ランク {0}
character_select.substitution	SUB {0}	変わり身 {0}
page.chakra.title	Chakra	チャクラ
page.gauge.title	Gauge	ゲージ
page.items.title	Items	アイテム
settings.reset	Settings returned to defaults.	設定を初期状態に戻しました。
