"id"	"file"	"offset_hex"	"old_slot_capacity_bytes"	"source_japanese"	"previous_release_english"	"proposed_translation"	"notes"
"BTL_0088"	"BTL.BIN"	"0x1E32D0"	"68"	"<ruby現在設定済|げんざいせっていず>みの<ruby条件|じょうけん>と.<ruby組|く>み<ruby合|あ>わせる<ruby事|こと>が<ruby出来|でき>ない<ruby条件|じょうけん>です。"	"This condition cannot be combined with the currently set conditions."	""	""
"BTL_0089"	"BTL.BIN"	"0x1E3370"	"5"	"基本条件"	"Basic"	""	""
"BTL_0090"	"BTL.BIN"	"0x1E3380"	"40"	"<ruby方向|ほうこう>キー<ruby左右|さゆう>でＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。"	"Press Left/Right to change COM strength."	""	""
"BTL_0091"	"BTL.BIN"	"0x1E33F0"	"53"	"<ruby方向|ほうこう>キー<ruby左右|さゆう>で<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。"	"Press Left/Right to change the Ultimate input battle."	""	""
"BTL_0092"	"BTL.BIN"	"0x1E3470"	"4"	"やさしい"	"Easy"	""	""
"BTL_0093"	"BTL.BIN"	"0x1E3480"	"4"	"むずかしい"	"Hard"	""	""
"BTL_0094"	"BTL.BIN"	"0x1E34A8"	"3"	"使用不可"	"Off"	""	""
"BTL_0095"	"BTL.BIN"	"0x1E34B8"	"6"	"ランダム"	"Random"	""	""
"BTL_0096"	"BTL.BIN"	"0x1E34C8"	"7"	"コマンド"	"Command"	""	""
"BTL_0097"	"BTL.BIN"	"0x1E34D8"	"6"	"タイミング"	"Timing"	""	""
"BTL_0098"	"BTL.BIN"	"0x1E3510"	"13"	"お<r手軽条件|てがるじょうけん>１"	"Preset Rule 1"	""	""
"BTL_0099"	"BTL.BIN"	"0x1E3540"	"13"	"お<r手軽条件|てがるじょうけん>２"	"Preset Rule 2"	""	""
"BTL_0100"	"BTL.BIN"	"0x1E3570"	"13"	"お<r手軽条件|てがるじょうけん>３"	"Preset Rule 3"	""	""
"BTL_0101"	"BTL.BIN"	"0x1E35A0"	"19"	"<r無重力戦闘|むじゅうりょくせんとう>"	"Zero-Gravity Battle"	""	""
"BTL_0102"	"BTL.BIN"	"0x1E35D0"	"37"	"<r速度差|そくどさ>が<r激|はげ>しい<r状態|じょうたい>で<r戦闘|せんとう>"	"Battle with extreme speed differences"	""	""
"BTL_0103"	"BTL.BIN"	"0x1E3620"	"35"	"<r大|だい>ダメージにめげずに<r戦闘|せんとう>"	"Battle without fearing heavy damage"	""	""
"BTL_0104"	"BTL.BIN"	"0x1E3650"	"14"	"<r極限戦闘|きょくげんせんとう>"	"Extreme Battle"	""	""
"BTL_0105"	"BTL.BIN"	"0x1E38E0"	"5"	"<r忍|にん>"	"Ninja"	""	""
"BTL_0106"	"BTL.BIN"	"0x1E38F0"	"8"	"%sカウント"	"%s Count"	""	""
"BTL_0107"	"BTL.BIN"	"0x1E3960"	"8"	"<r壮絶|そうぜつ>サバイバル"	"Survival"	""	""
"BTL_0108"	"BTL.BIN"	"0x1E39C0"	"14"	"<r撃破忍数|げきはにんずう>"	"Ninja Defeated"	""	""
"BTL_0109"	"BTL.BIN"	"0x1E39E0"	"21"	"%s<color000000><r忍|にん>"	"%s<color000000> Ninja"	""	""
"BTL_0110"	"BTL.BIN"	"0x1E3A00"	"10"	"クリアタイム"	"Clear Time"	""	""
"BTL_0111"	"BTL.BIN"	"0x1E3A10"	"21"	"%s<color000000>カウント"	"%s<color000000> Count"	""	""
"BTL_0112"	"BTL.BIN"	"0x1E3A30"	"12"	"<r忍名|しのびめい>"	"Shinobi Name"	""	""
"BTL_0113"	"BTL.BIN"	"0x1E3A50"	"10"	"<r所持金|しょじきん>"	"Money Held"	""	""
"BTL_0114"	"BTL.BIN"	"0x1E3A70"	"12"	"<r報酬金|ほうしゅうきん>"	"Reward Money"	""	""
"BTL_0115"	"BTL.BIN"	"0x1E3A90"	"3"	"<r両|りょう>"	"Ryo"	""	""
"BTL_0116"	"BTL.BIN"	"0x1E3AA0"	"12"	"クリア<r報酬|ほうしゅう>"	"Clear Reward"	""	""
"BTL_0117"	"BTL.BIN"	"0x1E3AC0"	"18"	"レベルクリア<r報酬|ほうしゅう>"	"Level Clear Reward"	""	""
"BTL_0118"	"BTL.BIN"	"0x1E3AE0"	"13"	"「<color2820FF>%s<color000000>」クリア！"	"Cleared ""%s""!"	""	""
"BTL_0119"	"BTL.BIN"	"0x1E3B10"	"13"	"<r新|あら>たなランク「<color2820FF>%s<color000000>」に"	"New rank ""%s"""	""	""
"BTL_0120"	"BTL.BIN"	"0x1E3B50"	"18"	"<r挑戦|ちょうせん>できるようになりました！！"	"is now available!!"	""	""
"BTL_0121"	"BTL.BIN"	"0x1E3B90"	"14"	"<r新|あら>たなレベル「<color2820FF>%s<color000000>」に"	"New level ""%s"""	""	""
"BTL_0122"	"BTL.BIN"	"0x1E3BE0"	"38"	"「<color080860><r究極連激戦|ナルティメットれんげきせん><color000000>」<r全|ぜん>クリア<r報酬|ほうしゅう>！"	"All-clear reward for ""Ultimate Chain""!"	""	""
"BTL_0123"	"BTL.BIN"	"0x1E3C50"	"33"	"<r装備品|そうびひん>「<color2820FF><r気配遮断装束|けはいしゃだんしょうぞく><color000000>」を<r手|て>に<r入|い>れた！"	"Got equipment ""Concealment Robe""!"	""	""
"BTL_0124"	"BTL.BIN"	"0x1E3CD0"	"49"	"「<color080860>フリーバトル<color000000>」などの「<color080860><r難易度設定|なんいどせってい><color000000>」に"	"In ""Free Battle"" and other ""Difficulty"" settings,"	""	""
"BTL_0125"	"BTL.BIN"	"0x1E3D40"	"52"	"<r最|もっと>も<r手強|てごわ>い<r難易度|なんいど>の「<color2820FF><r究極|ナルティメット><color000000>」が<r追加|ついか>されました！"	"the toughest difficulty, ""Ultimate"", has been added!"	""	""
"BTL_0126"	"BTL.BIN"	"0x1E3DD0"	"38"	"<r腕|うで>に<r覚|おぼ>えのある<r者|もの>よ、<r挑戦|ちょうせん>せよ！！"	"Skilled fighters, take the challenge!!"	""	""
"BTL_0127"	"BTL.BIN"	"0x1E3E40"	"41"	"<color080860>ランクイン<r報酬|ほうしゅう>！<color000000>"	"<color080860>Ranking Reward!<color000000>"	""	""
"BTL_0128"	"BTL.BIN"	"0x1E3E80"	"41"	"<color2820FF>%s<r位|い><color000000>に<r入賞|にゅうしょう>した<r君|きみ>に"	"For placing <color2820FF>%s<color000000>,"	""	""
"BTL_0129"	"BTL.BIN"	"0x1E3ED0"	"17"	"「<color2820FF>%s<color000000>」をプレゼント！"	"you receive ""%s""!"	""	""
"BTL_0130"	"BTL.BIN"	"0x1E4170"	"7"	"%s × %s<r個|こ>"	"%s x %s"	""	""
"BTL_0131"	"BTL.BIN"	"0x1E4190"	"19"	"<r自分|じぶん>ルール<r戦闘|せんとう>"	"Custom Rules Battle"	""	""
"BTL_0132"	"BTL.BIN"	"0x1E5550"	"20"	"<r敵|てき>は<r忍術|にんじゅつ>にて<r攻|せ>めるべし"	"Attack with Ninjutsu"	""	""
"BTL_0133"	"BTL.BIN"	"0x1E5590"	"23"	"<r敵|てき>は<r奥義|おうぎ>にて<r攻|せ>めるべし"	"Attack with an Ultimate"	""	""
"BTL_0134"	"BTL.BIN"	"0x1E55C0"	"24"	"<r敵|てき>は<r連係攻撃|れんけいこうげき>にて<r攻|せ>めるべし"	"Attack with Team Attacks"	""	""
"BTL_0135"	"BTL.BIN"	"0x1E5600"	"32"	"<r変|か>わり<r身|み>にて<r敵|てき>を<r欺|あざむ>くべし"	"Fool the enemy with Substitution"	""	""
"BTL_0136"	"BTL.BIN"	"0x1E5640"	"22"	"<r追|お>い<r討|う>ちにて<r敵|てき>を<r追撃|ついげき>すべし"	"Pursue with extra hits"	""	""
"BTL_0137"	"BTL.BIN"	"0x1E5680"	"31"	"<r連続|れんぞく><r攻撃|こうげき>にて<r敵|てき>を<r圧倒|あっとう>するべし"	"Overwhelm the enemy with combos"	""	""
"BTL_0138"	"BTL.BIN"	"0x1E56D0"	"31"	"<r特殊忍具|とくしゅにんぐ>を<r用|もち>いて<r攻|せ>めるべし"	"Attack with special ninja tools"	""	""
"BTL_0139"	"BTL.BIN"	"0x1E5710"	"24"	"<r敵|てき>は<r素早|すばや>く<r排除|はいじょ>すべし"	"Defeat the enemy quickly"	""	""
"BTL_0140"	"BTL.BIN"	"0x1E5750"	"20"	"<r己|おのれ>の<r体力|たいりょく>は<r温存|おんぞん>すべし"	"Preserve your health"	""	""
"BTL_0141"	"BTL.BIN"	"0x1E5790"	"21"	"<r強者|つわもの>を<r打|う>ち<r破|やぶ>るべし"	"Defeat the strong foe"	""	""
"BTL_0142"	"BTL.BIN"	"0x1E57C0"	"20"	"<r秘|ひ>めたる<r力|ちから>を<r解|と>き<r放|はな>つべし"	"Unleash hidden power"	""	""
"BTL_0143"	"BTL.BIN"	"0x1E5800"	"29"	"<r挑発|ちょうはつ>を<r以|も>って<r敵|てき>を<r刺激|しげき>すべし"	"Provoke the enemy with taunts"	""	""
"BTL_0144"	"BTL.BIN"	"0x1E5850"	"25"	"<r壊|こわ>れ<r物|もの>を<r破壊|はかい>すべし"	"Destroy breakable objects"	""	""
"BTL_0145"	"BTL.BIN"	"0x1E5880"	"27"	"<r特殊|とくしゅ><r条件|じょうけん>を<r完遂|かんすい>すべし"	"Complete special conditions"	""	""
"BTL_0146"	"BTL.BIN"	"0x1E58C0"	"25"	"<r敵|てき>の<r奥義|おうぎ>を<r打|う>ち<r破|やぶ>るべし"	"Defeat the enemy Ultimate"	""	""
"BTL_0147"	"BTL.BIN"	"0x1E5900"	"19"	"<r術|じゅつ>の<r競|せ>り<r合|あ>いにて<r勝利|しょうり>すべし"	"Win the jutsu clash"	""	""
"BTL_0148"	"BTL.BIN"	"0x1E5940"	"25"	"<r敵|てき>に<r残影|ざんえい>をもって<r挑|いど>むべし"	"Challenge with Afterimage"	""	""
"BTL_0149"	"BTL.BIN"	"0x1E5980"	"17"	"コンボ<r数|すう>%sHitボーナス"	"Combo %sHit Bonus"	""	""
"BTL_0150"	"BTL.BIN"	"0x1E59A0"	"18"	"<r所持|しょじ>アイテム%s<r個|こ>ボーナス"	"Held Item %s Bonus"	""	""
"BTL_0151"	"BTL.BIN"	"0x1E59D0"	"23"	"<r背景破壊|はいけいはかい>ボーナス"	"Stage Destruction Bonus"	""	""
"BTL_0152"	"BTL.BIN"	"0x1E5A00"	"20"	"<r残影勝利|ざんえいしょうり>ボーナス"	"Afterimage Win Bonus"	""	""
"BTL_0153"	"BTL.BIN"	"0x1E5A30"	"14"	"<r奥義|おうぎ>ボーナス"	"Ultimate Bonus"	""	""
"BTL_0154"	"BTL.BIN"	"0x1E5A50"	"30"	"<r敵|てき>%sカウント<r以内撃破|いないげきは>ボーナス"	"Defeat Enemy in %s Count Bonus"	""	""
"BTL_0155"	"BTL.BIN"	"0x1E5A90"	"17"	"<r体力|たいりょく>１００％ボーナス"	"100% Health Bonus"	""	""
"BTL_0156"	"BTL.BIN"	"0x1E5AC0"	"20"	"キャラクター<r組|く>み<r合|あ>わせボーナス"	"Character Pair Bonus"	""	""
"BTL_0157"	"BTL.BIN"	"0x1E5AF0"	"31"	"<r特殊連係攻撃|とくしゅれんけいこうげき>%sHitボーナス"	"Special Team Attack %sHit Bonus"	""	""
"BTL_0158"	"BTL.BIN"	"0x1E5B30"	"25"	"<r連係忍術|れんけいにんじゅつ>%sHitボーナス"	"Team Ninjutsu %sHit Bonus"	""	""
"BTL_0159"	"BTL.BIN"	"0x1E5B60"	"25"	"<r連係奥義|れんけいおうぎ>%sHitボーナス"	"Team Ultimate %sHit Bonus"	""	""
"BTL_0160"	"BTL.BIN"	"0x1E5BA0"	"5"	"<r回|かい>"	"times"	""	""
"BTL_0161"	"BTL.BIN"	"0x1E5BB0"	"5"	"<r発|はつ>"	"shots"	""	""
"BTL_0162"	"BTL.BIN"	"0x1E5BC0"	"5"	"カウント"	"Count"	""	""
"BTL_0163"	"BTL.BIN"	"0x1E5BD0"	"3"	"<r個|こ>"	"pcs"	""	""
"BTL_0164"	"BTL.BIN"	"0x1FA598"	"10"	"忍術生成失敗."	"Jutsu fail"	""	""
"BTL_0165"	"BTL.BIN"	"0x203090"	"20"	"赤丸スライドアタック"	"Akamaru Slide Attack"	""	""
"BTL_0166"	"BTL.BIN"	"0x2030B0"	"15"	"ダイナミックマーキング"	"Dynamic Marking"	""	""
"BTL_0167"	"BTL.BIN"	"0x2030D0"	"17"	"ブタ体当たりフィニッシュ"	"Pig Tackle Finish"	""	""
"BTL_0168"	"BTL.BIN"	"0x2030F0"	"18"	"イタチ　影分身　砕"	"Itachi Clone Crush"	""	""
"BTL_0169"	"BTL.BIN"	"0x203110"	"13"	"忍犬　フィニッシュ"	"Ninken Finish"	""	""
"BTL_0170"	"BTL.BIN"	"0x203130"	"18"	"忍犬.フィニッシュブロー"	"Ninken Finish Blow"	""	""
"BTL_0171"	"BTL.BIN"	"0x203150"	"11"	"鬼鮫スイコウダン"	"Water Shark"	""	""
"BTL_0172"	"BTL.BIN"	"0x208A30"	"16"	"<r操作設定|そうさせってい>"	"Control Settings"	""	""
"BTL_0173"	"BTL.BIN"	"0x208A50"	"14"	"<r基本操作|きほんそうさ>コマンド<r表|ひょう>"	"Basic Commands"	""	""
"BTL_0174"	"BTL.BIN"	"0x208A80"	"11"	"１Ｐコマンド<r表|ひょう>"	"1P Commands"	""	""
"BTL_0175"	"BTL.BIN"	"0x208AA0"	"11"	"２Ｐコマンド<r表|ひょう>"	"2P Commands"	""	""
"BTL_0176"	"BTL.BIN"	"0x208AC0"	"14"	"１Ｐか２Ｐのコマンド表（設定しろや）"	"1P/2P Commands"	""	""
"BTL_0177"	"BTL.BIN"	"0x208AF0"	"17"	"<r練習設定|れんしゅうせってい>"	"Practice Settings"	""	""
"BTL_0178"	"BTL.BIN"	"0x208B10"	"23"	"かんたん<r表示|ひょうじ><r設定|せってい>"	"Simple Display Settings"	""	""
"BTL_0179"	"BTL.BIN"	"0x208B40"	"10"	"アイテムストック"	"Item Stock"	""	""
"BTL_0180"	"BTL.BIN"	"0x208B60"	"18"	"<r任務|にんむ>の<r条件|じょうけん>"	"Mission Conditions"	""	""
"BTL_0181"	"BTL.BIN"	"0x208B90"	"16"	"クリア<r条件|じょうけん>"	"Clear Conditions"	""	""
"BTL_0182"	"BTL.BIN"	"0x208BB0"	"21"	"ゲームモード<r選択|せんたく>に<r戻|もど>る"	"Return to Mode Select"	""	""
"BTL_0183"	"BTL.BIN"	"0x208BE0"	"26"	"キャラクター<r選択|せんたく>に<r戻|もど>る"	"Return to Character Select"	""	""
"BTL_0184"	"BTL.BIN"	"0x208C10"	"19"	"ヒーローモードに<r戻|もど>る"	"Return to Hero Mode"	""	""
