program	ordinal	nun5_file_offset	nun5_live_address	nun5_ghidra_function	nun6_rect_expansion	na2_file_offset	na2_live_address	na2_ghidra_function	context_shape_match	mapping_review
ELF	56	0x002A1E44	0x003A1CC4	FUN_003a19a0	true	0x00290004	0x0038FF04	FUN_0038fd40	1.000	candidate
ELF	57	0x002A3CFC	0x003A3B7C	FUN_003a3a30	true	0x00291CAC	0x00391BAC	FUN_00391a60	1.000	candidate
ELF	58	0x002A4954	0x003A47D4	FUN_003a46f0	true	0x00292904	0x00392804	FUN_00392730	1.000	candidate
ELF	59	0x002A68E0	0x003A6760	FUN_003a66d0	true	0x002947B0	0x003946B0	FUN_00394620	1.000	candidate
ELF	60	0x002CD274	0x003CD0F4	FUN_003ccb30	true	0x002BA714	0x003BA614	FUN_003b9f60	1.000	candidate
ELF	61	0x002CE92C	0x003CE7AC	FUN_003ce790	true	0x002BBC4C	0x003BBB4C	FUN_003bbb30	1.000	candidate
ELF	62	0x002CF094	0x003CEF14	FUN_003ce810	true	0x002BC3C0	0x003BC2C0	FUN_003bbbb0	0.917	candidate
ELF	63	0x002CFAD4	0x003CF954	FUN_003cf6c0	true	0x002BCC9C	0x003BCB9C	FUN_003bca90	0.667	manual_function_review
ADV	1	0x00003250	0x006C9F50	FUN_006c9d90	false	0x00002E60	0x006B6D60	FUN_006b6b70	1.000	candidate
ADV	2	0x00003304	0x006CA004	FUN_006c9d90	false	0x00002F2C	0x006B6E2C	FUN_006b6b70	1.000	candidate
ADV	3	0x000033AC	0x006CA0AC	FUN_006c9d90	false	0x00002FD4	0x006B6ED4	FUN_006b6b70	1.000	candidate
ADV	4	0x00003914	0x006CA614	FUN_006c9d90	false	0x000035F0	0x006B74F0	FUN_006b6b70	1.000	candidate
ADV	5	0x00003B54	0x006CA854	FUN_006c9d90	false	0x000038BC	0x006B77BC	FUN_006b6b70	0.708	manual_function_review
ADV	6	0x00003C8C	0x006CA98C	FUN_006c9d90	false	0x00003920	0x006B7820	FUN_006b6b70	0.583	manual_function_review
ADV	7	0x00003D00	0x006CAA00	FUN_006c9d90	false	0x00003A58	0x006B7958	FUN_006b6b70	0.542	manual_function_review
ADV	8	0x00003EF4	0x006CABF4	FUN_006c9d90	false	0x00003ACC	0x006B79CC	FUN_006b6b70	0.542	manual_function_review
ADV	9	0x000041A4	0x006CAEA4	FUN_006c9d90	false	0x00003CC0	0x006B7BC0	FUN_006b6b70	0.625	manual_function_review
ADV	10	0x00006818	0x006CD518	FUN_006cd360	false	0x000063D8	0x006BA2D8	FUN_006ba0f0	1.000	candidate
ADV	11	0x00006B74	0x006CD874	FUN_006cd770	false	0x00006780	0x006BA680	FUN_006ba4b0	0.417	manual_function_review
ADV	12	0x000640A8	0x0072ADA8	FUN_0072a890	false	0x00062434	0x00716334	FUN_00715e00	0.708	manual_function_review
ADV	13	0x000848AC	0x0074B5AC	FUN_0074b550	true	0x0008245C	0x0073635C	FUN_00736300	0.833	candidate
ADV	14	0x0008491C	0x0074B61C	FUN_0074b5c0	true	0x000824CC	0x007363CC	FUN_00736370	1.000	candidate
ADV	15	0x0008B908	0x00752608	FUN_00752530	true	0x00088FB8	0x0073CEB8	FUN_0073cdb0	1.000	candidate
ADV	16	0x0009F2CC	0x00765FCC	FUN_00765f80	true	0x0009BF2C	0x0074FE2C	FUN_0074fde0	1.000	candidate
ADV	17	0x000A4350	0x0076B050	FUN_0076aee0	true	0x000A12C8	0x007551C8	FUN_00754be0	1.000	candidate
ADV	18	0x000AD5A4	0x007742A4	FUN_00774240	true	0x000AA1F4	0x0075E0F4	FUN_0075e090	1.000	candidate
ADV	19	0x000BF2A8	0x00785FA8	FUN_00785f40	true	0x000BB308	0x0076F208	FUN_0076f1a0	1.000	candidate
ADV	20	0x000C7738	0x0078E438	FUN_0078e2a0	true	0x000C3040	0x00776F40	FUN_00776e70	0.958	candidate
ADV	21	0x000F185C	0x007B855C	FUN_007b8350	true	0x000EB32C	0x0079F22C	FUN_0079f020	1.000	candidate
ADV	22	0x0012EEE8	0x007F5BE8	FUN_007f5b10	true	0x001272F8	0x007DB1F8	FUN_007db120	1.000	candidate
ADV	23	0x0012EF48	0x007F5C48	FUN_007f5b10	true	0x00127358	0x007DB258	FUN_007db120	1.000	candidate
ADV	24	0x0012EFA8	0x007F5CA8	FUN_007f5b10	true	0x001273B8	0x007DB2B8	FUN_007db120	1.000	candidate
ADV	25	0x0012F008	0x007F5D08	FUN_007f5b10	true	0x00127418	0x007DB318	FUN_007db120	1.000	candidate
ADV	26	0x0013AC34	0x00801934	FUN_008018e0	true	0x00132C04	0x007E6B04	FUN_007e6ab0	1.000	candidate
ADV	27	0x0013AC94	0x00801994	FUN_00801940	true	0x00132C64	0x007E6B64	FUN_007e6b10	1.000	candidate
ADV	28	0x0013ACF4	0x008019F4	FUN_008019a0	true	0x00132CC4	0x007E6BC4	FUN_007e6b70	1.000	candidate
ADV	29	0x0013AD54	0x00801A54	FUN_00801a00	true	0x00132D24	0x007E6C24	FUN_007e6bd0	1.000	candidate
ADV	30	0x0013ADB4	0x00801AB4	FUN_00801a60	true	0x00132D84	0x007E6C84	FUN_007e6c30	1.000	candidate
ADV	31	0x0013AE14	0x00801B14	FUN_00801ac0	true	0x00132DE4	0x007E6CE4	FUN_007e6c90	1.000	candidate
ADV	32	0x0013AE74	0x00801B74	FUN_00801b20	true	0x00132E44	0x007E6D44	FUN_007e6cf0	1.000	candidate
ADV	33	0x0013AED4	0x00801BD4	FUN_00801b80	true	0x00132EA4	0x007E6DA4	FUN_007e6d50	1.000	candidate
ADV	34	0x0013AF34	0x00801C34	FUN_00801be0	true	0x00132F04	0x007E6E04	FUN_007e6db0	1.000	candidate
ADV	35	0x0013AF94	0x00801C94	FUN_00801c40	true	0x00132F64	0x007E6E64	FUN_007e6e10	1.000	candidate
ADV	36	0x0013AFF4	0x00801CF4	FUN_00801ca0	true	0x00132FC4	0x007E6EC4	FUN_007e6e70	1.000	candidate
ADV	37	0x0013B054	0x00801D54	FUN_00801d00	true	0x00133024	0x007E6F24	FUN_007e6ed0	1.000	candidate
ADV	38	0x0013B0B4	0x00801DB4	FUN_00801d60	true	0x00133084	0x007E6F84	FUN_007e6f30	1.000	candidate
ADV	39	0x0013B114	0x00801E14	FUN_00801dc0	true	0x001330E4	0x007E6FE4	FUN_007e6f90	1.000	candidate
ADV	40	0x0013B174	0x00801E74	FUN_00801e20	true	0x00133144	0x007E7044	FUN_007e6ff0	1.000	candidate
ADV	41	0x0013B2A8	0x00801FA8	FUN_00801e80	true	0x00133260	0x007E7160	FUN_007e7050	0.958	candidate
ADV	42	0x0013B3E8	0x008020E8	FUN_00801fc0	true	0x00133390	0x007E7290	FUN_007e7180	0.917	candidate
ADV	43	0x0013B528	0x00802228	FUN_00802100	true	0x001334C0	0x007E73C0	FUN_007e72b0	0.958	candidate
ADV	44	0x0013B668	0x00802368	FUN_00802240	true	0x001335F0	0x007E74F0	FUN_007e73e0	0.917	candidate
ADV	45	0x0013C024	0x00802D24	FUN_00802cd0	true	0x00133F64	0x007E7E64	FUN_007e7e10	0.750	candidate
ADV	46	0x0014516C	0x0080BE6C	FUN_0080bda0	false	0x0013C69C	0x007F059C	FUN_007f04d0	1.000	candidate
ADV	47	0x00146BBC	0x0080D8BC	FUN_0080d840	true	0x0013E04C	0x007F1F4C	FUN_007f1ed0	1.000	candidate
ADV	48	0x00146CF0	0x0080D9F0	FUN_0080d9b0	true	0x0013E180	0x007F2080	FUN_007f2040	1.000	candidate
ADV	49	0x001513F4	0x008180F4	FUN_00818020	false	0x00148538	0x007FC438	FUN_007fc340	0.458	manual_function_review
ADV	50	0x00154268	0x0081AF68	FUN_0081ae80	false	0x0014B088	0x007FEF88	FUN_007feea0	1.000	candidate
ADV	51	0x001542A4	0x0081AFA4	FUN_0081ae80	false	0x0014B0C4	0x007FEFC4	FUN_007feea0	1.000	candidate
ADV	52	0x0015433C	0x0081B03C	FUN_0081ae80	false	0x0014B15C	0x007FF05C	FUN_007feea0	1.000	candidate
ADV	53	0x00154514	0x0081B214	FUN_0081ae80	false	0x0014B384	0x007FF284	FUN_007feea0	1.000	candidate
ADV	54	0x001545E4	0x0081B2E4	FUN_0081ae80	false	0x0014B494	0x007FF394	FUN_007feea0	1.000	candidate
ADV	55	0x00154C24	0x0081B924	FUN_0081b750	false	0x0014BA48	0x007FF948	FUN_007ff740	1.000	candidate
ADV	56	0x00154C98	0x0081B998	FUN_0081b750	false	0x0014BABC	0x007FF9BC	FUN_007ff740	1.000	candidate
BTL	1	0x0000CBEC	0x006D38EC	FUN_006d37f0	true	0x0000C57C	0x006C047C	FUN_006c0380	1.000	candidate
BTL	2	0x0000D030	0x006D3D30	FUN_006d3bf0	true	0x0000C9A8	0x006C08A8	FUN_006c0780	0.875	candidate
BTL	3	0x0000D12C	0x006D3E2C	FUN_006d3bf0	true	0x0000CABC	0x006C09BC	FUN_006c0780	0.792	candidate
BTL	4	0x0002B898	0x006F2598	FUN_006f24e0	true	0x0002A918	0x006DE818	FUN_006de760	1.000	candidate
BTL	5	0x0002B9BC	0x006F26BC	FUN_006f24e0	true	0x0002AA3C	0x006DE93C	FUN_006de760	1.000	candidate
BTL	6	0x0002BACC	0x006F27CC	FUN_006f24e0	true	0x0002AB4C	0x006DEA4C	FUN_006de760	1.000	candidate
BTL	7	0x0002BBF8	0x006F28F8	FUN_006f24e0	true	0x0002AC78	0x006DEB78	FUN_006de760	1.000	candidate
BTL	8	0x0002BDE0	0x006F2AE0	FUN_006f2aa0	true	0x0002AE80	0x006DED80	FUN_006ded40	1.000	candidate
BTL	9	0x0002BF0C	0x006F2C0C	FUN_006f2aa0	true	0x0002AFA4	0x006DEEA4	FUN_006ded40	1.000	candidate
BTL	10	0x0002BFDC	0x006F2CDC	FUN_006f2aa0	true	0x0002B06C	0x006DEF6C	FUN_006ded40	1.000	candidate
BTL	11	0x0002C2FC	0x006F2FFC	FUN_006f2f60	true	0x0002B35C	0x006DF25C	FUN_006df1c0	1.000	candidate
BTL	12	0x0002C3EC	0x006F30EC	FUN_006f3000	true	0x0002B444	0x006DF344	FUN_006df260	1.000	candidate
BTL	13	0x0002C554	0x006F3254	FUN_006f31b0	true	0x0002B5B4	0x006DF4B4	FUN_006df410	1.000	candidate
BTL	14	0x0002C5EC	0x006F32EC	FUN_006f32a0	true	0x0002B64C	0x006DF54C	FUN_006df500	1.000	candidate
BTL	15	0x0002C8B4	0x006F35B4	FUN_006f3540	true	0x0002B90C	0x006DF80C	FUN_006df7a0	0.583	manual_function_review
BTL	16	0x0002E060	0x006F4D60	FUN_006f4ce0	true	0x0002D020	0x006E0F20	FUN_006e0ea0	1.000	candidate
BTL	17	0x00033960	0x006FA660	FUN_006f9c10	true	0x000326AC	0x006E65AC	FUN_006e5bc0	1.000	candidate
BTL	18	0x000394D0	0x007001D0	FUN_00700180	true	0x00037C40	0x006EBB40	FUN_006ebaf0	1.000	candidate
BTL	19	0x0003B510	0x00702210	FUN_007021c0	true	0x00039CD0	0x006EDBD0	FUN_006edb80	1.000	candidate
BTL	20	0x0003C584	0x00703284	FUN_00702ed0	true	0x0003AA18	0x006EE918	FUN_006ee850	0.875	candidate
BTL	21	0x0003CC2C	0x0070392C	FUN_00703604	true	0x0003B0D8	0x006EEFD8	FUN_006eeee0	0.875	candidate
BTL	22	0x00063498	0x0072A198	FUN_0072a130	true	0x00060868	0x00714768	FUN_00714700	1.000	candidate
BTL	23	0x000636C8	0x0072A3C8	FUN_0072a230	true	0x00060964	0x00714864	FUN_007147f0	0.750	candidate
BTL	24	0x0006371C	0x0072A41C	FUN_0072a230	true	0x000609C4	0x007148C4	FUN_007147f0	0.792	candidate
BTL	25	0x00063950	0x0072A650	FUN_0072a4e0	true	0x00060C90	0x00714B90	FUN_00714a90	0.792	candidate
BTL	26	0x00066A84	0x0072D784	FUN_0072d5b0	true	0x00063CEC	0x00717BEC	FUN_00717a20	0.708	manual_function_review
BTL	27	0x000695FC	0x007302FC	FUN_007302b0	true	0x0006653C	0x0071A43C	FUN_0071a3d0	0.708	manual_function_review
BTL	28	0x00077E1C	0x0073EB1C	FUN_0073ea40	false	0x000747E0	0x007286E0	FUN_007285e0	0.542	manual_function_review
BTL	29	0x00077E84	0x0073EB84	FUN_0073ea40	false	0x0007486C	0x0072876C	FUN_007285e0	0.583	manual_function_review
BTL	30	0x000BB5A4	0x007822A4	FUN_00782170	true	0x000B6AFC	0x0076A9FC	FUN_0076a8e0	0.750	candidate
BTL	31	0x000BB96C	0x0078266C	FUN_00782590	false	0x000B6EE8	0x0076ADE8	FUN_0076ace0	0.542	manual_function_review
BTL	32	0x000BE170	0x00784E70	FUN_00784760	true	0x000B9770	0x0076D670	FUN_0076cc00	1.000	candidate
BTL	33	0x000BE1E8	0x00784EE8	FUN_00784760	true	0x000B97E8	0x0076D6E8	FUN_0076cc00	1.000	candidate
BTL	34	0x000C00D8	0x00786DD8	FUN_00786cb0	false	0x000BB3C8	0x0076F2C8	FUN_0076f1a0	1.000	candidate
BTL	35	0x000CBD6C	0x00792A6C	FUN_007928b0	true	0x000C6B6C	0x0077AA6C	FUN_0077a8b0	1.000	candidate
BTL	36	0x000DB298	0x007A1F98	FUN_007a1af0	true	0x000D5C48	0x00789B48	FUN_00789630	1.000	candidate
BTL	37	0x000E6734	0x007AD434	FUN_007ad3b0	true	0x000E0C50	0x00794B50	FUN_00794ac0	0.875	candidate
BTL	38	0x000F17FC	0x007B84FC	FUN_007b8110	true	0x000EBA9C	0x0079F99C	FUN_0079f5b0	1.000	candidate
BTL	39	0x000F5DA0	0x007BCAA0	FUN_007bca30	true	0x000EFEB0	0x007A3DB0	FUN_007a3d40	1.000	candidate
BTL	40	0x000F6980	0x007BD680	FUN_007bd610	true	0x000F0A50	0x007A4950	FUN_007a48e0	1.000	candidate
BTL	41	0x000F6C9C	0x007BD99C	FUN_007bd8e0	true	0x000F0D3C	0x007A4C3C	FUN_007a4b80	1.000	candidate
BTL	42	0x000FBF64	0x007C2C64	FUN_007c2be0	true	0x000F5E60	0x007A9D60	FUN_007a9cd0	0.875	candidate
BTL	43	0x00101600	0x007C8300	FUN_007c8110	true	0x000FB2D0	0x007AF1D0	FUN_007aefe0	1.000	candidate
BTL	44	0x001023BC	0x007C90BC	FUN_007c8e90	true	0x000FC03C	0x007AFF3C	FUN_007afd10	1.000	candidate
BTL	45	0x00102F20	0x007C9C20	FUN_007c9aa0	true	0x000FCB80	0x007B0A80	FUN_007b0900	1.000	candidate
BTL	46	0x00105198	0x007CBE98	FUN_007cbd80	true	0x000FEC3C	0x007B2B3C	FUN_007b2ac0	0.833	candidate
BTL	47	0x0010C8C4	0x007D35C4	FUN_007d34e0	true	0x001061B0	0x007BA0B0	FUN_007ba010	1.000	candidate
BTL	48	0x0011A8B4	0x007E15B4	FUN_007e14b0	true	0x00113DB4	0x007C7CB4	FUN_007c7bb0	1.000	candidate
BTL	49	0x0011AA18	0x007E1718	FUN_007e14b0	true	0x00113F18	0x007C7E18	FUN_007c7bb0	1.000	candidate
BTL	50	0x001203A0	0x007E70A0	FUN_007e7030	true	0x00119760	0x007CD660	FUN_007cd5f0	1.000	candidate
BTL	51	0x0012197C	0x007E867C	FUN_007e8360	true	0x0011AA3C	0x007CE93C	FUN_007ce860	1.000	candidate
BTL	52	0x001244CC	0x007EB1CC	FUN_007eadc0	true	0x0011D6BC	0x007D15BC	FUN_007d11b0	1.000	candidate
BTL	53	0x0012AA4C	0x007F174C	FUN_007f16b0	true	0x00123A0C	0x007D790C	FUN_007d7870	1.000	candidate
BTL	54	0x0012B83C	0x007F253C	FUN_007f2440	true	0x001247DC	0x007D86DC	FUN_007d85e0	1.000	candidate
BTL	55	0x0012C6F4	0x007F33F4	FUN_007f3380	true	0x00125664	0x007D9564	FUN_007d94f0	1.000	candidate
BTL	56	0x0012CCEC	0x007F39EC	FUN_007f38e0	true	0x00125C74	0x007D9B74	FUN_007d9a50	0.958	candidate
BTL	57	0x001302B0	0x007F6FB0	FUN_007f6f40	true	0x00129150	0x007DD050	FUN_007dcfe0	1.000	candidate
BTL	58	0x00134F58	0x007FBC58	FUN_007fbb60	true	0x0012DD18	0x007E1C18	FUN_007e1b20	1.000	candidate
BTL	59	0x00136288	0x007FCF88	FUN_007fcef0	true	0x0012F050	0x007E2F50	FUN_007e2e70	1.000	candidate
BTL	60	0x00136A00	0x007FD700	FUN_007fd5a0	true	0x0012F750	0x007E3650	FUN_007e34f0	1.000	candidate
BTL	61	0x00136EF0	0x007FDBF0	FUN_007fdb60	true	0x0012FC30	0x007E3B30	FUN_007e3aa0	1.000	candidate
BTL	62	0x001375A8	0x007FE2A8	FUN_007fe220	true	0x001302B8	0x007E41B8	FUN_007e4130	1.000	candidate
BTL	63	0x00137BC4	0x007FE8C4	FUN_007fe830	true	0x001308C4	0x007E47C4	FUN_007e4730	1.000	candidate
BTL	64	0x00138428	0x007FF128	FUN_007ff0a0	true	0x00131138	0x007E5038	FUN_007e4fb0	1.000	candidate
BTL	65	0x00138F78	0x007FFC78	FUN_007ffa20	true	0x00131C34	0x007E5B34	FUN_007e58e0	1.000	candidate
BTL	66	0x00138FE8	0x007FFCE8	FUN_007ffa20	true	0x00131CA4	0x007E5BA4	FUN_007e58e0	1.000	candidate
BTL	67	0x0013E198	0x00804E98	FUN_00804cf0	true	0x00136C80	0x007EAB80	FUN_007ea9b0	0.792	candidate
BTL	68	0x0013E8C8	0x008055C8	FUN_00805540	true	0x00137318	0x007EB218	FUN_007eb190	1.000	candidate
BTL	69	0x00141D34	0x00808A34	FUN_00808910	true	0x0013A604	0x007EE504	FUN_007ee3e0	1.000	candidate
BTL	70	0x00142278	0x00808F78	FUN_00808ef0	true	0x0013AB48	0x007EEA48	FUN_007ee9c0	1.000	candidate
BTL	71	0x0014420C	0x0080AF0C	FUN_0080ae10	false	0x0013CA5C	0x007F095C	FUN_007f0860	0.958	candidate
BTL	72	0x0014E054	0x00814D54	FUN_00814ce0	true	0x001466F4	0x007FA5F4	FUN_007fa580	1.000	candidate
BTL	73	0x0015003C	0x00816D3C	FUN_00816770	true	0x001486AC	0x007FC5AC	FUN_007fbfe0	1.000	candidate
BTL	74	0x001529A0	0x008196A0	FUN_00818d90	true	0x0014AFC0	0x007FEEC0	FUN_007fe5b0	1.000	candidate
BTL	75	0x0015A3B4	0x008210B4	FUN_00821060	true	0x00152864	0x00806764	FUN_00806710	1.000	candidate
BTL	76	0x0015D4EC	0x008241EC	FUN_008238a0	true	0x0015594C	0x0080984C	FUN_00808ee0	1.000	candidate
BTL	77	0x00160B4C	0x0082784C	FUN_00826a40	true	0x00158F84	0x0080CE84	FUN_0080c080	0.875	candidate
BTL	78	0x00163AC0	0x0082A7C0	FUN_0082a710	true	0x0015BEC0	0x0080FDC0	FUN_0080fd10	1.000	candidate
BTL	79	0x00163FE8	0x0082ACE8	FUN_0082aa50	true	0x0015C3E8	0x008102E8	FUN_00810050	0.708	manual_function_review
BTL	80	0x0016E08C	0x00834D8C	FUN_00834890	true	0x00166310	0x0081A210	FUN_00819d10	1.000	candidate
BTL	81	0x00180CF0	0x008479F0	FUN_00847930	true	0x00178C60	0x0082CB60	FUN_0082caa0	1.000	candidate
BTL	82	0x0018AD48	0x00851A48	FUN_00851430	true	0x00182B08	0x00836A08	FUN_008363f0	1.000	candidate
BTL	83	0x0018BF14	0x00852C14	FUN_00852b80	true	0x00183C94	0x00837B94	FUN_00837b00	1.000	candidate
BTL	84	0x0018C2B4	0x00852FB4	FUN_00852b80	true	0x00184034	0x00837F34	FUN_00837b00	1.000	candidate
BTL	85	0x0018E5CC	0x008552CC	FUN_00854af0	true	0x001862F4	0x0083A1F4	FUN_00839a10	0.750	candidate
BTL	86	0x0018F968	0x00856668	FUN_008562a0	true	0x00187660	0x0083B560	FUN_0083b1a0	1.000	candidate
BTL	87	0x001A2AAC	0x008697AC	FUN_00869510	true	0x0019A27C	0x0084E17C	FUN_0084dee0	1.000	candidate
BTL	88	0x001A3C2C	0x0086A92C	FUN_0086a820	true	0x0019B38C	0x0084F28C	FUN_0084f180	1.000	candidate
BTL	89	0x001BE5CC	0x008852CC	FUN_00884a80	true	0x001B572C	0x0086962C	FUN_00868de0	1.000	candidate
