mapping_id	enabled	container_id	target_texture	donor_texture	transform	reason
UI-OUGI-002	1	ougi	m\ougi\tex\ougi_text_a2.bmp	m\ougi\tex\ougi_text_a1.bmp	split_right	Right half of official English Ultimate Jutsu label.
UI-OUGI-003	1	ougi	m\ougi\tex\ougi_text_b1.bmp	m\ougi\tex\ougi_text_b1.bmp	split_left	Left half of official English Reversal label.
UI-OUGI-004	1	ougi	m\ougi\tex\ougi_text_b2.bmp	m\ougi\tex\ougi_text_b1.bmp	split_right	Right half of official English Reversal label.
UI-OUGI-005	1	ougi	m\ougi\tex\ougi_text_c1.bmp	m\ougi\tex\ougi_text_c1.bmp	split_left	Left half of official English Awakened label.
UI-OUGI-006	1	ougi	m\ougi\tex\ougi_text_c2.bmp	m\ougi\tex\ougi_text_c1.bmp	split_right	Right half of official English Awakened label.
UI-OUGI-007	1	ougi	m\ougi\tex\ougi_text_d1.bmp	m\ougi\tex\ougi_text_d1.bmp	split_left	Left half of official English Linked label.
UI-OUGI-008	1	ougi	m\ougi\tex\ougi_text_d2.bmp	m\ougi\tex\ougi_text_d1.bmp	split_right	Right half of official English Linked label.
UI-OUGI-009	1	ougi	m\ougi\tex\ougi_gauge2.bmp	m\ougi\tex\ougi_gauge2.bmp	copy	English Press Spin and button-rush labels.
UI-OUGI-010	1	ougi	m\ougi\tex\ougi_gauge3.bmp	m\ougi\tex\ougi_gauge3.bmp	copy	English Failed and Success labels.
UI-OUGI-011	1	ougi	m\ougi\tex\ougi_spgau1.bmp	m\ougi\tex\ougi_spgau1.bmp	copy	English OK and ERROR labels.
UI-OUGI-012	1	ougi	m\ougi\tex\ougi_spgau2.bmp	m\ougi\tex\ougi_spgau2.bmp	copy	English damage-interruption labels.
UI-PRAC-001	1	prac	m\prac\tex\p_wind1.bmp	m\prac\tex\p_wind1.bmp	copy	Official English OK marker.
UI-PRAC-002	1	prac	m\prac\tex\prac_t01.bmp	m\prac\tex\prac_t01.bmp	copy	English Practice Settings label.
UI-SET-001	1	setting	m\setting\tex\s_menu.bmp	m\setting\tex\s_menu.bmp	copy	English Battle Settings label.
UI-SHOP-001	1	shop	m\shop\tex\buybg.bmp	m\shop\tex\buybg.bmp	copy	English shop background labels.
UI-SHOP-002	1	shop	m\shop\tex\shop_mg.bmp	m\shop\tex\shop_mg.bmp	copy	English shop interaction labels.
UI-SHOP-003	1	shop	m\shop\tex\shop_mg02.bmp	m\shop\tex\shop_mg02.bmp	copy	English shop result labels.
UI-SHOP-004	1	shop	m\shop\tex\shop_t01.bmp	m\shop\tex\shop_t01.bmp	copy	English shop cabinet labels.
UI-SHOP-005	1	shop	m\shop\tex\shop_t02.bmp	m\shop\tex\shop_t02.bmp	copy	English shop category labels.
UI-SPB-001	1	spbattle	x\spbattle\tex\spbattle01.bmp	x\spbattle\tex\spbattle01.bmp	copy	English special-battle menu labels.
UI-SPB-002	1	spbattle	x\spbattle\tex\spbattle02.bmp	x\spbattle\tex\spbattle02.bmp	copy	English special-battle labels and counters.
UI-SPB-003	1	spbattle	x\spbattle\tex\spbattle03.bmp	x\spbattle\tex\spbattle03.bmp	copy	English special-battle result labels.
UI-TITLE-001	1	title	m\t\tex\mtttl02.bmp	m\t\tex\mtttl02.bmp	copy	Official English title and New/Load Game labels.
UI-VS-001	1	vs	m\vs\tex\vs_t01.bmp	m\vs\tex\vs_t01.bmp	copy	English versus-screen labels.
UI-VS-002	1	vs	m\vs\tex\vs_t02.bmp	m\vs\tex\vs_t02.bmp	copy	English versus settings labels.
UI-NINKA-001	1	xninka	m\ninka\tex\xninka.bmp	m\ninka\tex\xninka.bmp	copy	English ninja-card result labels.
