case_id	character_id	awakening_id	support_id	capture_policy
orochimaru-luj-1	89		0x21	specials
yamato	91			base, specials
yamato-rev	91			specials
yamato-awk-1	91	0x5F		specials
yamato-awk-2	91	0x60		
kabuto	90			base, specials
kabuto-rev	90			specials
kabuto-awk-1	90	0x5E		specials
sasuke	93			base, specials
sasuke-rev	93			specials
sasuke-awk-1	93	0x63		specials
sasuke-awk-2	93	0x64		
sasuke-luj-1	93		0x1C	specials
sasuke-lj-1	93		0x00	specials
bNaruto	1			base, specials
bNaruto-rev	1			specials
bNaruto-awk-1	1	0x0E		
bNaruto-2nd	47			base, parent-specials
bSasuke	2			base, specials
bSasuke-rev	2			specials
bSasuke-awk-1	2	0x0F		
bSasuke-2nd	48			base, parent-specials
bSakura	7			base, specials
bSakura-rev	7			specials
bSakura-awk-1	7	0x13		specials
bNeji	6			base, specials
bNeji-rev	6			specials
bNeji-awk-1	6	0x12		specials
bLee	3			base, specials
bLee-rev	3			specials
bLee-awk-1	3	0x10		
bLee-2nd	49			base, parent-specials
bTenten	13			base, specials
bTenten-rev	13			specials
bTenten-awk-1	13	0x19		specials
bShikamaru	5			base, specials
bShikamaru-rev	5			specials
bShikamaru-awk-1	5	0x11		specials
bChoji	14			base, specials
bChoji-rev	14			specials
bChoji-awk-1	14	0x1A		specials
bChoji-2nd	51			base, parent-specials
bKiba	16			base, specials
bKiba-rev	16			specials
bKiba-awk-1	16	0x1C		specials
bIno	15			base, specials
bIno-rev	15			specials
bIno-awk-1	15	0x1B		specials
bShino	17			base, specials
bShino-rev	17			specials
bShino-awk-1	17	0x1D		specials
bHinata	12			base, specials
bHinata-rev	12			specials
bHinata-awk-1	12	0x17		specials
bHinata-awk-2	12	0x18		
hanabi	41			base, specials
hanabi-rev	41			specials
hanabi-awk-1	41	0x30		specials
hanabi-awk-2	41	0x31		
konohamaru	40			base, specials
konohamaru-rev	40			specials
konohamaru-awk-1	40	0x2E		
konohamaru-awk-2	40	0x2F		specials
anko	46			base, specials
anko-rev	46			specials
anko-awk-1	46	0x37		specials
anko-awk-2	46	0x38		
hashirama	42			base, specials
hashirama-rev	42			specials
hashirama-awk-1	42	0x32		specials
tobirama	43			base, specials
tobirama-rev	43			specials
tobirama-awk-1	43	0x33		specials
tobirama-awk-2	43	0x34		
minato	39			base, specials
minato-rev	39			specials
minato-awk-1	39	0x2C		specials
minato-awk-2	39	0x2D		
hiruzen	22			base, specials
hiruzen-rev	22			specials
hiruzen-awk-1	22	0x21		specials
bGaara	4			base, specials
bGaara-rev	4			specials
bGaara-2nd	50			base, parent-specials
bTemari	19			base, specials
bTemari-rev	19			specials
bTemari-awk-1	19	0x1F		specials
bKankuro	18			base, specials
bKankuro-rev	18			specials
bKankuro-awk-1	18	0x1E		specials
kimimaro	38			base, specials
kimimaro-rev	38			specials
kimimaro-awk-1	38	0x2B		
kimimaro-2nd	56			base, parent-specials
sakon	37			base, specials
sakon-rev	37			specials
sakon-awk-1	37	0x2A		
sakon-2nd	55			base, parent-specials
tayuya	36			base, specials
tayuya-rev	36			specials
tayuya-awk-1	36	0x29		
tayuya-2nd	54			base, parent-specials
kidomaru	35			base, specials
kidomaru-rev	35			specials
kidomaru-awk-1	35	0x28		
kidomaru-2nd	53			base, parent-specials
jirobo	34			base, specials
jirobo-rev	34			specials
jirobo-awk-1	34	0x27		
jirobo-2nd	52			base, parent-specials
zabuza	11			base, specials
zabuza-rev	11			specials
zabuza-awk-1	11	0x16		specials
haku	10			base, specials
haku-rev	10			specials
haku-awk-1	10	0x15		specials
