id	enabled	section	mode	source_ref	donor_ref	capacity	source	donor	prefix	replacement	transform	arguments	reference_refs	parent_mapping_id
M0059	1	battle	slot	NA2_BTL@0x1E2C00	NUN5_TEXTENG@0x270E0	208	<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>ではランダムで<r出現|しゅつげん>する<r相手|あいて>と<r無限|むげん>に<r闘|たたか>い、どこまで<r勝|か>ち<r残|のこ>れるかを<r競|きそ>うことができます。	<WHITE>In <color00FFFF>Epic Survival<WHITE>, see how far you can last against infinitely appearing random enemies.						
M0060	1	battle	slot	NA2_BTL@0x1E2CD0	NUN5_TEXTENG@0x27160	176	<color00FFFF><r自分|じぶん>ルール<r戦闘|せんとう><colorFFFFFF>では、<r戦闘条件|せんとうじょうけん>を<r任意|にんい>に<r設定|せってい>して<r闘|たたか>うことができます。	<WHITE>In <color00FFFF>Customized Battle<WHITE>, set your own battle conditions and fight.						
M0061	1	battle	slot	NA2_BTL@0x1E2D80	NUN5_TEXTENG@0x271C0	96	<color00FFFF><r熱血対戦|ねっけつたいせん><colorFFFFFF>を<r終了|しゅうりょう>しますか？	<WHITE>Quit <color00FFFF>Hot-Blooded Versus<WHITE>?						
M0062	1	battle	slot	NA2_BTL@0x1E2DE0	NUN5_TEXTENG@0x27200	80	<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>を開始しますか？	<WHITE>Play <color00FFFF>Epic Survival<WHITE>?						
M0063	1	battle	slot	NA2_BTL@0x1E2F60	NUN5_TEXTENG@0x27270	32	<r中忍|ちゅうにん>レベル	Genin LVL						
M0064	1	battle	slot	NA2_BTL@0x1E2F80	NUN5_TEXTENG@0x27280	32	<r上忍|じょうにん>レベル	Chunin LVL						
M0065	1	battle	slot	NA2_BTL@0x1E2FA0	NUN5_TEXTENG@0x272A0	32	<r火影|ほかげ>レベル	Hokage LVL						
M0066	1	battle	slot	NA2_BTL@0x1E2FC0	NUN5_TEXTENG@0x272B0	32	<r特殊戦闘|とくしゅせんとう>	Special Battle						
M0067	1	battle	slot	NA2_BTL@0x1E3000	NUN5_TEXTENG@0x272C0	48	レベルを<r選択|せんたく>してください。	Select a level.						
M0068	1	battle	slot	NA2_BTL@0x1E3030	NUN5_TEXTENG@0x272D0	48	ランクを<r選択|せんたく>してください。	Select a rank.						
M0069	1	battle	slot	NA2_BTL@0x1E3060	NUN5_TEXTENG@0x272E0	33	これでよろしいでしょうか？	Is this okay?						
M0070	1	battle	slot	NA2_BTL@0x1E3110	NUN5_TEXTENG@0x27A30	80	<ruby好|す>きな<ruby条件|じょうけん>を<ruby設定|せってい>してください。	Set your own rules.						
M0071	1	battle	slot	NA2_BTL@0x1E3160	NUN5_TEXTENG@0x27A50	64	ＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Change COM strength.						
M0072	1	battle	slot	NA2_BTL@0x1E31A0	NUN5_TEXTENG@0x27A70	96	<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Change Ultimate Jutsu controls.						
M0073	1	battle	slot	NA2_BTL@0x1E3200	NUN5_TEXTENG@0x27A90	80	『はい』を<ruby選択|せんたく>で<ruby戦闘|せんとう>を<ruby開始|かいし>します。	Select Yes to start the battle.						
M0074	1	battle	slot	NA2_BTL@0x1E3250	NUN5_TEXTENG@0x27AB0	80	<ruby条件|じょうけん>が１つも<ruby設定|せってい>されていないです。	No rules have been set.						
M0075	1	battle	slot	NA2_BTL@0x1E32A0	NUN5_TEXTENG@0x27AC8	48	すでに<ruby設定済|せっていず>みです。	Already set.						
M0076	1	battle	slot	NA2_BTL@0x1E3370	NUN5_TEXTENG@0x27B18	16	基本条件	Basic Rules						
M0077	1	battle	slot	NA2_BTL@0x1E3380	NUN5_TEXTENG@0x27A50	112	<ruby方向|ほうこう>キー<ruby左右|さゆう>でＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Change COM strength.						
M0078	1	battle	slot	NA2_BTL@0x1E33F0	NUN5_TEXTENG@0x27A70	128	<ruby方向|ほうこう>キー<ruby左右|さゆう>で<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Change Ultimate Jutsu controls.						
M0079	1	battle	slot	NA2_BTL@0x1E3470	NUN5_TEXTENG@0x26AE	16	やさしい	Easy						
M0080	1	battle	slot	NA2_BTL@0x1E34B8	NUN5_SLES@0x514260	16	ランダム	Random						
M0081	1	battle	slot	NA2_BTL@0x1E34C8	NUN5_BTL@0x1ECEC2	16	コマンド	Command						
M0082	1	battle	slot	NA2_BTL@0x1E34D8	NUN5_SLES@0x514270	24	タイミング	Timing						
M0083	1	battle	slot	NA2_BTL@0x1E3510	NUN5_TEXTENG@0x27BB8	48	お<r手軽条件|てがるじょうけん>１	Easy Rules 1						
M0084	1	battle	slot	NA2_BTL@0x1E3540	NUN5_TEXTENG@0x27BC8	48	お<r手軽条件|てがるじょうけん>２	Easy Rules 2						
M0085	1	battle	slot	NA2_BTL@0x1E3570	NUN5_TEXTENG@0x27BD8	48	お<r手軽条件|てがるじょうけん>３	Easy Rules 3						
M0086	1	battle	slot	NA2_BTL@0x1E35A0	NUN5_TEXTENG@0x27BF0	48	<r無重力戦闘|むじゅうりょくせんとう>	Weightless Battle						
M0087	1	battle	slot	NA2_BTL@0x1E35D0	NUN5_TEXTENG@0x27C10	80	<r速度差|そくどさ>が<r激|はげ>しい<r状態|じょうたい>で<r戦闘|せんとう>	Vast Speed difference						
M0088	1	battle	slot	NA2_BTL@0x1E3620	NUN5_TEXTENG@0x27C30	48	<r大|だい>ダメージにめげずに<r戦闘|せんとう>	No major damage						
M0089	1	battle	slot	NA2_BTL@0x1E3650	NUN5_TEXTENG@0x27C40	34	<r極限戦闘|きょくげんせんとう>	Limited Battle						
M0090	1	battle	slot	NA2_BTL@0x1E3960	NUN5_TEXTENG@0x2759D	34	<r壮絶|そうぜつ>サバイバル	Survival						
M0091	1	battle	slot	NA2_BTL@0x1E3AA0	NUN5_TEXTENG@0x272F0	32	クリア<r報酬|ほうしゅう>	Clear Reward						
M0092	1	battle	slot	NA2_BTL@0x1E5550	NUN5_TEXTENG@0x10120	64	<r敵|てき>は<r忍術|にんじゅつ>にて<r攻|せ>めるべし	Attack the enemy with Ninjutsu						
M0093	1	battle	slot	NA2_BTL@0x1E5590	NUN5_TEXTENG@0x10140	48	<r敵|てき>は<r奥義|おうぎ>にて<r攻|せ>めるべし	Attack the enemy with Ultimate Jutsu						
M0094	1	battle	slot	NA2_BTL@0x1E55C0	NUN5_TEXTENG@0x10170	64	<r敵|てき>は<r連係攻撃|れんけいこうげき>にて<r攻|せ>めるべし	Attack the enemy with Linked attacks						
M0095	1	battle	slot	NA2_BTL@0x1E5600	NUN5_TEXTENG@0x101A0	64	<r変|か>わり<r身|み>にて<r敵|てき>を<r欺|あざむ>くべし	Deceive the enemy using Substitution Jutsu						
M0096	1	battle	slot	NA2_BTL@0x1E5640	NUN5_TEXTENG@0x101D0	64	<r追|お>い<r討|う>ちにて<r敵|てき>を<r追撃|ついげき>すべし	Pursue the enemy with Extra Hit attacks 						
M0097	1	battle	slot	NA2_BTL@0x1E5680	NUN5_TEXTENG@0x10200	80	<r連続|れんぞく><r攻撃|こうげき>にて<r敵|てき>を<r圧倒|あっとう>するべし	Overwhelm the enemy with consecutive attacks						
M0098	1	battle	slot	NA2_BTL@0x1E56D0	NUN5_TEXTENG@0x10230	64	<r特殊忍具|とくしゅにんぐ>を<r用|もち>いて<r攻|せ>めるべし	Attack with Special Ninja Tool						
M0099	1	battle	slot	NA2_BTL@0x1E5710	NUN5_TEXTENG@0x10250	64	<r敵|てき>は<r素早|すばや>く<r排除|はいじょ>すべし	Defeat the enemy quickly						
M0100	1	battle	slot	NA2_BTL@0x1E5750	NUN5_TEXTENG@0x10270	64	<r己|おのれ>の<r体力|たいりょく>は<r温存|おんぞん>すべし	Conserve your health						
M0101	1	battle	slot	NA2_BTL@0x1E5790	NUN5_TEXTENG@0x10290	48	<r強者|つわもの>を<r打|う>ち<r破|やぶ>るべし	Defeat a powerful enemy						
M0102	1	battle	slot	NA2_BTL@0x1E57C0	NUN5_TEXTENG@0x102B0	64	<r秘|ひ>めたる<r力|ちから>を<r解|と>き<r放|はな>つべし	Release your hidden power						
M0103	1	battle	slot	NA2_BTL@0x1E5800	NUN5_TEXTENG@0x102D0	80	<r挑発|ちょうはつ>を<r以|も>って<r敵|てき>を<r刺激|しげき>すべし	Taunt the enemy into action						
M0104	1	battle	slot	NA2_BTL@0x1E5850	NUN5_TEXTENG@0x102F0	48	<r壊|こわ>れ<r物|もの>を<r破壊|はかい>すべし	Destroy breakable objects						
M0105	1	battle	slot	NA2_BTL@0x1E5880	NUN5_TEXTENG@0x10310	64	<r特殊|とくしゅ><r条件|じょうけん>を<r完遂|かんすい>すべし	Fulfill special objectives						
M0106	1	battle	slot	NA2_BTL@0x1E58C0	NUN5_TEXTENG@0x10330	64	<r敵|てき>の<r奥義|おうぎ>を<r打|う>ち<r破|やぶ>るべし	Defeat the enemy's Ultimate Jutsu						
M0107	1	battle	slot	NA2_BTL@0x1E5900	NUN5_TEXTENG@0x10360	64	<r術|じゅつ>の<r競|せ>り<r合|あ>いにて<r勝利|しょうり>すべし	Win in a battle of Ninjutsu						
M0108	1	battle	slot	NA2_BTL@0x1E5940	NUN5_TEXTENG@0x10380	64	<r敵|てき>に<r残影|ざんえい>をもって<r挑|いど>むべし	Use Shadowblur against the enemy						
M0109	1	battle	slot	NA2_BTL@0x1E5980	NUN5_TEXTENG@0x103B0	32	コンボ<r数|すう>%sHitボーナス	%1 hit combo bonus						
M0110	1	battle	slot	NA2_BTL@0x1E59A0	NUN5_TEXTENG@0x103D0	48	<r所持|しょじ>アイテム%s<r個|こ>ボーナス	%1 items carried bonus						
M0111	1	battle	slot	NA2_BTL@0x1E59D0	NUN5_TEXTENG@0x103F0	48	<r背景破壊|はいけいはかい>ボーナス	Environment destruction bonus						
M0112	1	battle	slot	NA2_BTL@0x1E5A00	NUN5_TEXTENG@0x10410	48	<r残影勝利|ざんえいしょうり>ボーナス	Shadowblur victory bonus						
M0113	1	battle	slot	NA2_BTL@0x1E5A30	NUN5_TEXTENG@0x10430	32	<r奥義|おうぎ>ボーナス	Ultimate Jutsu bonus						
M0114	1	battle	slot	NA2_BTL@0x1E5A50	NUN5_TEXTENG@0x10450	64	<r敵|てき>%sカウント<r以内撃破|いないげきは>ボーナス	Enemy defeated within %1 timer counts bonus						
M0115	1	battle	slot	NA2_BTL@0x1E5AC0	NUN5_TEXTENG@0x104A0	48	キャラクター<r組|く>み<r合|あ>わせボーナス	Character combination bonus						
M0116	1	battle	slot	NA2_BTL@0x1E5AF0	NUN5_TEXTENG@0x104C0	64	<r特殊連係攻撃|とくしゅれんけいこうげき>%sHitボーナス	%1 hit special linked attack bonus						
M0117	1	battle	slot	NA2_BTL@0x1E5B30	NUN5_TEXTENG@0x104F0	48	<r連係忍術|れんけいにんじゅつ>%sHitボーナス	%1 hit linked Jutsu bonus						
M0118	1	battle	slot	NA2_BTL@0x1E5B60	NUN5_TEXTENG@0x10510	48	<r連係奥義|れんけいおうぎ>%sHitボーナス	%1 hit linked Ultimate Jutsu bonus						
M0119	1	battle	slot	NA2_BTL@0x1E5BC0	NUN5_TEXTENG@0x10538	16	カウント	timer counts						
M0120	1	battle	slot	NA2_BTL@0x208A30	NUN5_TEXTENG@0x870	32	<r操作設定|そうさせってい>	Controls						
M0121	1	battle	slot	NA2_BTL@0x208A50	NUN5_TEXTENG@0x880	48	<r基本操作|きほんそうさ>コマンド<r表|ひょう>	Command Chart						
M0122	1	battle	slot	NA2_BTL@0x208A80	NUN5_TEXTENG@0x890	32	１Ｐコマンド<r表|ひょう>	1P Commands						
M0123	1	battle	slot	NA2_BTL@0x208AA0	NUN5_TEXTENG@0x8A0	32	２Ｐコマンド<r表|ひょう>	2P Commands						
M0124	1	battle	slot	NA2_BTL@0x208AF0	NUN5_TEXTENG@0x718	32	<r練習設定|れんしゅうせってい>	Practice						
M0125	1	battle	slot	NA2_BTL@0x208B10	NUN5_TEXTENG@0x8B0	48	かんたん<r表示|ひょうじ><r設定|せってい>	Simple Display						
M0126	1	battle	slot	NA2_BTL@0x208B40	NUN5_TEXTENG@0x8C0	32	アイテムストック	Item Stock						
M0127	1	battle	slot	NA2_BTL@0x208B60	NUN5_TEXTENG@0x8D0	48	<r任務|にんむ>の<r条件|じょうけん>	Mission Rules						
M0128	1	battle	slot	NA2_BTL@0x208B90	NUN5_TEXTENG@0x8E0	32	クリア<r条件|じょうけん>	Clear Conditions						
M0129	1	battle	slot	NA2_BTL@0x208BB0	NUN5_TEXTENG@0x900	48	ゲームモード<r選択|せんたく>に<r戻|もど>る	Back to Game Mode Screen						
M0130	1	battle	slot	NA2_BTL@0x208BE0	NUN5_TEXTENG@0x920	48	キャラクター<r選択|せんたく>に<r戻|もど>る	Back to Character Select						
M0131	1	battle	slot	NA2_BTL@0x208C10	NUN5_TEXTENG@0x940	32	ヒーローモードに<r戻|もど>る	Back to Hero Mode						
M0132	1	battle	slot	NA2_BTL@0x208C30	NUN5_TEXTENG@0x958	48	<r対戦|たいせん>を<r終了|しゅうりょう>する	Quit battle						
M0133	1	battle	slot	NA2_BTL@0x208CA8	NUN5_SLES@0x513E58	16	キャンセル	Cancel						
M0134	0	battle	slot	NA2_BTL@0x208CF0	NUN5_TEXTENG@0x708	32	<r対戦|たいせん>	Free Battle						
M0135	0	battle	slot	NA2_BTL@0x208D10	NUN5_TEXTENG@0x718	32	<r練習|れんしゅう>	Practice						
M0136	0	battle_dialogs	slot	NA2_BTL@0x208D30	NUN5_TEXTENG@0xA00	80	"を<r終了|しゅうりょう>しますが、よろしいですか？
<iconCANCEL>キャンセル"	Do you want to quit %1?						
M0137	1	battle	slot	NA2_BTL@0x208DA0	NUN5_TEXTENG@0xA60	32	キャラクター<r選択|せんたく>	Character Select						
M0138	1	battle	slot	NA2_BTL@0x208DC0	NUN5_TEXTENG@0xA80	32	ゲームモード<r選択|せんたく>	Game Mode Select						
M0139	1	battle	slot	NA2_BTL@0x208DE0	NUN5_TEXTENG@0x6F8	16	ヒーローモード	Hero Mode						
M0140	0	battle_dialogs	slot	NA2_BTL@0x208DF0	NUN5_TEXTENG@0xA20	80	"に<r戻|もど>りますが、
よろしいですか？　　　　<iconCANCEL>キャンセル"	Are you sure you want to quit %1 and return to %2?						
M0141	1	battle	slot	NA2_BTL@0x208E60	NUN5_TEXTENG@0xAC0	128	"ナルティメットアクセル<r独特|どくとく>の<r操作|そうさ>を
<r分|わ>かりやすく<r表示|ひょうじ>する<r為|ため>の<r機能|きのう>です。"	A feature to display the special controls for the game.						
M0142	1	battle	slot	NA2_BTL@0x208F70	NUN5_TEXTENG@0xB20	48	チャクラゲージ<r壱以上|いちいじょう>	Chakra Gauge 1+						
M0143	1	battle	slot	NA2_BTL@0x208FA0	NUN5_TEXTENG@0xB30	48	チャクラゲージ<r弐以上|にいじょう>	Chakra Gauge 2+						
M0144	1	battle	slot	NA2_BTL@0x208FD0	NUN5_TEXTENG@0xB40	32	チャクラゲージ<r参|さん>	Chakra Gauge 3						
M0145	1	battle	slot	NA2_BTL@0x208FF0	NUN5_TEXTENG@0xB50	32	<r地上|ちじょう><r投|な>げ	Ground Throw						
M0146	1	battle	slot	NA2_BTL@0x209010	NUN5_TEXTENG@0xB60	32	<r空中|くうちゅう><r投|な>げ	Air Throw						
M0147	1	battle	slot	NA2_BTL@0x209030	NUN5_TEXTENG@0xB70	32	ジャンプ<r中|ちゅう>に	While jumping						
M0148	1	battle	slot	NA2_BTL@0x209050	NUN5_TEXTENG@0xB80	32	チャクラ<r消費|しょうひ>	Consume Chakra						
M0149	1	battle	slot	NA2_BTL@0x209070	NUN5_TEXTENG@0xB90	32	<r当|あ>て<r身技|みわざ>	Take Downs						
M0150	1	battle	slot	NA2_BTL@0x2090D0	NUN5_TEXTENG@0xBA0	48	<r空中|くうちゅう><r連打技|れんだわざ>	Air Combo						
M0151	1	battle	slot	NA2_BTL@0x209100	NUN5_TEXTENG@0xBB0	48	<r空中|くうちゅう><r溜|た>め<r技|わざ>	Air Charge						
M0152	1	battle	slot	NA2_BTL@0x209130	NUN5_TEXTENG@0xBC0	64	チャクラ<r消費|しょうひ>／<r当|あ>て<r身技|みわざ>	Consume Chakra/Take Down						
M0153	1	battle	slot	NA2_BTL@0x209170	NUN5_TEXTENG@0xBE0	48	チャクラ<r消費|しょうひ>／<r溜|た>め<r技|わざ>	Consume Chakra/Charge						
M0154	1	battle	slot	NA2_BTL@0x2091A0	NUN5_TEXTENG@0xC00	48	チャクラ<r消費|しょうひ>／<r連打技|れんだわざ>	Consume Chakra/Combo						
M0155	1	battle	slot	NA2_BTL@0x2091D0	NUN5_TEXTENG@0xC18	48	<r溜|た>め<r技|わざ>　<r弱|じゃく>	Charge-weak						
M0156	1	battle	slot	NA2_BTL@0x209200	NUN5_TEXTENG@0xC28	48	<r溜|た>め<r技|わざ>　<r強|きょう>	Charge-strong						
M0157	1	battle	slot	NA2_BTL@0x209230	NUN5_TEXTENG@0xC38	32	／<r空中可|くうちゅうか>	/Jump OK						
M0158	1	battle	slot	NA2_BTL@0x209250	NUN5_TEXTENG@0xC50	32	／<r通常奥義|つうじょうおうぎ>	/Nor. Ultimate Jutsu						
M0159	1	battle	slot	NA2_BTL@0x209270	NUN5_TEXTENG@0xC70	32	／<r逆転奥義|ぎゃくてんおうぎ>	/Rev. Ultimate Jutsu						
M0160	1	battle	slot	NA2_BTL@0x209290	NUN5_TEXTENG@0xC90	32	／<r覚醒奥義|かくせいおうぎ>	/Awk. Ultimate Jutsu						
M0161	1	battle	slot	NA2_BTL@0x2092B0	NUN5_TEXTENG@0xCB0	32	／<r連係奥義|れんけいおうぎ>	/Lnk. Ultimate Jutsu						
M0162	1	battle	slot	NA2_BTL@0x209330	NUN5_TEXTENG@0xD30	32	（ジャンプ<r中|ちゅう>）	(while jumping)						
M0163	1	battle	slot	NA2_BTL@0x209350	NUN5_TEXTENG@0xD40	48	（<r相手|あいて>の<r前|まえ>で）	(in front of opponent)						
M0164	1	battle	slot	NA2_BTL@0x2093B0	NUN5_TEXTENG@0xDB0	80	（<r相手|あいて>の<r攻撃|こうげき>の<r当|あ>たる<r瞬間|しゅんかん>）	(right when getting hit)						
